date,total_employee_number
"Dec. 31, 2019",17408
"Dec. 31, 2018",17582
"Dec. 31, 2017",17666
"Dec. 31, 2016",17634
"Dec. 31, 2015",17405
"Dec. 31, 2014",18529
"Dec. 31, 2013",18521
"Dec. 31, 2012",18513
"Dec. 31, 2011",18710
"Dec. 31, 2010",18712
"Dec. 31, 2009",21673
"Dec. 31, 2008",21912
"Dec. 31, 2007",20861
"Dec. 31, 2006",20442
"Dec. 31, 2005",19630
"Dec. 31, 2004",19893
"Dec. 31, 2003",22075
"Dec. 31, 2002",22083
"Dec. 31, 2001",27726
"Dec. 31, 2000",26376
"Dec. 31, 1999",17306
"Dec. 31, 1998",17943
"Dec. 31, 1997",17844
"Dec. 31, 1996",17951
"Dec. 31, 1995",18502
"Dec. 31, 1994",19660
"Dec. 31, 1993",20007
"Dec. 31, 1992",20841
"Dec. 31, 1991",22136
"Dec. 31, 1990",22798
"Dec. 31, 1989",22700
