date,shareholders_equity
"Dec. 31, 2019",19.63B
"Sept. 30, 2019",19.72B
"June 30, 2019",19.26B
"March 31, 2019",19.20B
"Dec. 31, 2018",19.03B
"Sept. 30, 2018",19.02B
"June 30, 2018",18.72B
"March 31, 2018",18.48B
"Dec. 31, 2017",18.29B
"Sept. 30, 2017",18.07B
"June 30, 2017",17.82B
"March 31, 2017",17.69B
"Dec. 31, 2016",17.40B
"Sept. 30, 2016",17.32B
"June 30, 2016",18.39B
"March 31, 2016",18.13B
"Dec. 31, 2015",17.89B
"Sept. 30, 2015",17.70B
"June 30, 2015",17.43B
"March 31, 2015",17.24B
"Dec. 31, 2014",16.82B
"Sept. 30, 2014",16.87B
"June 30, 2014",16.58B
"March 31, 2014",16.42B
"Dec. 31, 2013",16.08B
"Sept. 30, 2013",15.76B
"June 30, 2013",15.54B
"March 31, 2013",15.42B
"Dec. 31, 2012",15.24B
"Sept. 30, 2012",15.31B
"June 30, 2012",15.01B
"March 31, 2012",14.86B
"Dec. 31, 2011",14.66B
"Sept. 30, 2011",14.65B
"June 30, 2011",13.94B
"March 31, 2011",13.78B
"Dec. 31, 2010",13.62B
"Sept. 30, 2010",13.66B
"June 30, 2010",13.27B
"March 31, 2010",13.32B
"Dec. 31, 2009",13.14B
"Sept. 30, 2009",13.06B
"June 30, 2009",12.74B
"March 31, 2009",10.94B
"Dec. 31, 2008",10.69B
"Sept. 30, 2008",10.92B
"June 30, 2008",10.63B
"March 31, 2008",10.49B
"Dec. 31, 2007",10.08B
"Sept. 30, 2007",9.909B
"June 30, 2007",9.656B
"March 31, 2007",9.54B
"Dec. 31, 2006",9.412B
"Sept. 30, 2006",9.525B
"June 30, 2006",9.426B
"March 31, 2006",9.384B
"Dec. 31, 2005",9.088B
"Sept. 30, 2005",8.985B
"June 30, 2005",8.382B
"March 31, 2005",8.268B
"Dec. 31, 2004",8.515B
"Sept. 30, 2004",8.283B
"June 30, 2004",8.083B
"March 31, 2004",8.071B
"Dec. 31, 2003",7.874B
"Sept. 30, 2003",8.458B
"June 30, 2003",8.413B
"March 31, 2003",8.437B
"Dec. 31, 2002",7.064B
"Sept. 30, 2002",8.666B
"June 30, 2002",8.384B
"March 31, 2002",8.186B
"Dec. 31, 2001",8.229B
"Sept. 30, 2001",8.379B
"June 30, 2001",8.148B
"March 31, 2001",8.057B
"Dec. 31, 2000",8.054B
"Sept. 30, 2000",8.417B
"June 30, 2000",8.254B
"March 31, 2000",4.972B
"Dec. 31, 1999",8.673B
"Sept. 30, 1999",5.189B
"June 30, 1999",5.106B
"March 31, 1999",5.089B
"Dec. 31, 1998",5.016B
"Sept. 30, 1998",5.035B
"June 30, 1998",4.934B
"March 31, 1998",4.907B
"Dec. 31, 1997",4.852B
"Sept. 30, 1997",4.820B
"June 30, 1997",4.824B
"March 31, 1997",4.799B
"Dec. 31, 1996",5.146B
"Sept. 30, 1996",5.115B
"June 30, 1996",5.075B
"March 31, 1996",5.056B
"Dec. 31, 1995",5.003B
"Sept. 30, 1995",5.061B
"June 30, 1995",5.089B
"March 31, 1995",5.101B
"Dec. 31, 1994",5.052B
"Sept. 30, 1994",5.049B
"June 30, 1994",5.010B
"March 31, 1994",4.963B
