date,cash_on_hand
"Dec. 31, 2019",449.50M
"Sept. 30, 2019",547.20M
"June 30, 2019",386.20M
"March 31, 2019",396.60M
"Dec. 31, 2018",393.20M
"Sept. 30, 2018",952.40M
"June 30, 2018",374.30M
"March 31, 2018",351.30M
"Dec. 31, 2017",376.30M
"Sept. 30, 2017",654.60M
"June 30, 2017",490.00M
"March 31, 2017",450.00M
"Dec. 31, 2016",349.20M
"Sept. 30, 2016",491.40M
"June 30, 2016",553.70M
"March 31, 2016",454.90M
"Dec. 31, 2015",563.20M
"Sept. 30, 2015",493.00M
"June 30, 2015",551.00M
"March 31, 2015",483.00M
"Dec. 31, 2014",548.10M
"Sept. 30, 2014",512.00M
"June 30, 2014",567.00M
"March 31, 2014",602.00M
"Dec. 31, 2013",471.00M
"Sept. 30, 2013",435.00M
"June 30, 2013",415.00M
"March 31, 2013",440.00M
"Dec. 31, 2012",603.00M
"Sept. 30, 2012",721.00M
"June 30, 2012",594.00M
"March 31, 2012",503.00M
"Dec. 31, 2011",515.00M
"Sept. 30, 2011",786.00M
"June 30, 2011",728.00M
"March 31, 2011",991.00M
"Dec. 31, 2010",710.00M
"Sept. 30, 2010",1.416B
"June 30, 2010",1.21B
"March 31, 2010",1.165B
"Dec. 31, 2009",853.00M
"Sept. 30, 2009",1.136B
"June 30, 2009",782.00M
"March 31, 2009",925.00M
"Dec. 31, 2008",824.00M
"Sept. 30, 2008",338.00M
"June 30, 2008",218.00M
"March 31, 2008",155.00M
"Dec. 31, 2007",178.00M
"Sept. 30, 2007",196.00M
"June 30, 2007",172.00M
"March 31, 2007",456.00M
"Dec. 31, 2006",726.00M
"Sept. 30, 2006",259.00M
"June 30, 2006",422.00M
"March 31, 2006",478.00M
"Dec. 31, 2005",528.00M
"Sept. 30, 2005",849.00M
"June 30, 2005",882.00M
"March 31, 2005",1.261B
"Dec. 31, 2004",595.00M
"Sept. 30, 2004",1.461B
"June 30, 2004",1.066B
"March 31, 2004",1.253B
"Dec. 31, 2003",1.182B
"Sept. 30, 2003",1.708B
"June 30, 2003",1.176B
"March 31, 2003",1.764B
"Dec. 31, 2002",1.199B
"Sept. 30, 2002",566.00M
"June 30, 2002",585.00M
"March 31, 2002",306.00M
"Dec. 31, 2001",333.00M
"Sept. 30, 2001",379.00M
"June 30, 2001",212.00M
"March 31, 2001",275.00M
"Dec. 31, 2000",342.00M
"Sept. 30, 2000",295.00M
"June 30, 2000",312.00M
"March 31, 2000",364.00M
"Dec. 31, 1999",653.00M
"Sept. 30, 1999",274.00M
"June 30, 1999",242.00M
"March 31, 1999",280.00M
"Dec. 31, 1998",173.00M
"Sept. 30, 1998",147.90M
"June 30, 1998",175.30M
"March 31, 1998",133.20M
"Dec. 31, 1997",91.50M
"Sept. 30, 1997",91.80M
"June 30, 1997",94.20M
"March 31, 1997",86.10M
"Dec. 31, 1996",57.50M
"Sept. 30, 1996",112.70M
"June 30, 1996",110.40M
"March 31, 1996",189.40M
"Dec. 31, 1995",80.00M
"Sept. 30, 1995",93.70M
"June 30, 1995",129.20M
"March 31, 1995",87.50M
"Dec. 31, 1994",62.90M
"Sept. 30, 1994",46.40M
"June 30, 1994",32.30M
"March 31, 1994",74.90M
