date,kz_index
"Dec. 31, 2018",1.153
"Dec. 31, 2017",
"Dec. 31, 2016",
"Dec. 31, 2015",0.8755
"Dec. 31, 2014",0.9516
"Dec. 31, 2013",
"Dec. 31, 2012",
"Dec. 31, 2011",0.8566
"Dec. 31, 2010",0.9372
"Dec. 31, 2009",
"Dec. 31, 2008",1.172
"Dec. 31, 2007",1.322
"Dec. 31, 2006",1.190
"Dec. 31, 2005",
"Dec. 31, 2004",
"Dec. 31, 2003",1.039
"Dec. 31, 2002",0.8878
"Dec. 31, 2001",
"Dec. 31, 2000",0.8987
"Dec. 31, 1999",-0.7186
"Dec. 31, 1998",0.7927
"Dec. 31, 1997",0.6463
"Dec. 31, 1996",0.3794
"Dec. 31, 1995",0.4332
