date,ni_per_employee_annual
"Dec. 31, 2019",109808.5
"Dec. 31, 2018",109158.0
"Dec. 31, 2017",108362.6
"Dec. 31, 2016",34869.72
"Dec. 31, 2015",113936.7
"Dec. 31, 2014",88194.33
"Dec. 31, 2013",79953.56
"Dec. 31, 2012",67646.35
"Dec. 31, 2011",104003.0
"Dec. 31, 2010",60121.33
"Dec. 31, 2009",62406.79
"Dec. 31, 2008",64666.96
"Dec. 31, 2007",52732.25
"Dec. 31, 2006",50009.98
"Dec. 31, 2005",41191.21
"Dec. 31, 2004",51896.68
"Dec. 31, 2003",4982.11
"Dec. 31, 2002",-20839.61
"Dec. 31, 2001",35895.16
"Dec. 31, 2000",12224.72
"Dec. 31, 1999",55150.50
"Dec. 31, 1998",54489.06
"Dec. 31, 1997",28551.47
"Dec. 31, 1996",32227.80
"Dec. 31, 1995",27771.08
"Dec. 31, 1994",25209.87
"Dec. 31, 1993",17322.76
"Dec. 31, 1992",21793.05
"Dec. 31, 1991",22161.39
"Dec. 31, 1990",21820.74
