date,altman_z_score
"Dec. 31, 2019",0.9163
"Sept. 30, 2019",0.9879
"June 30, 2019",0.9538
"March 31, 2019",0.9727
"Dec. 31, 2018",0.9326
"Sept. 30, 2018",0.9498
"June 30, 2018",0.941
"March 31, 2018",0.9261
"Dec. 31, 2017",1.008
"Sept. 30, 2017",1.002
"June 30, 2017",0.8829
"March 31, 2017",0.8989
"Dec. 31, 2016",0.8404
"Sept. 30, 2016",0.9023
"June 30, 2016",1.018
"March 31, 2016",1.004
"Dec. 31, 2015",0.9775
"Sept. 30, 2015",0.9842
"June 30, 2015",0.9465
"March 31, 2015",0.9688
"Dec. 31, 2014",0.9834
"Sept. 30, 2014",0.9613
"June 30, 2014",0.9831
"March 31, 2014",0.9566
"Dec. 31, 2013",0.9059
"Sept. 30, 2013",0.8949
"June 30, 2013",0.8889
"March 31, 2013",0.9331
"Dec. 31, 2012",0.8746
"Sept. 30, 2012",0.9081
"June 30, 2012",0.9016
"March 31, 2012",0.8917
"Dec. 31, 2011",0.9191
"Sept. 30, 2011",0.9434
"June 30, 2011",0.9124
"March 31, 2011",0.8643
"Dec. 31, 2010",0.8526
"Sept. 30, 2010",0.8813
"June 30, 2010",0.8328
"March 31, 2010",0.8691
"Dec. 31, 2009",0.8758
"Sept. 30, 2009",0.8622
"June 30, 2009",0.8405
"March 31, 2009",0.7461
"Dec. 31, 2008",0.8246
"Sept. 30, 2008",0.9158
"June 30, 2008",0.9334
"March 31, 2008",0.9505
"Dec. 31, 2007",0.9336
"Sept. 30, 2007",0.9471
"June 30, 2007",0.8832
"March 31, 2007",0.9368
"Dec. 31, 2006",0.8921
"Sept. 30, 2006",0.8434
"June 30, 2006",0.8614
"March 31, 2006",0.8631
"Dec. 31, 2005",0.8616
"Sept. 30, 2005",1.001
"June 30, 2005",1.02
"March 31, 2005",0.9616
"Dec. 31, 2004",1.003
"Sept. 30, 2004",0.9042
"June 30, 2004",0.842
"March 31, 2004",0.8431
"Dec. 31, 2003",0.8245
"Sept. 30, 2003",0.9341
"June 30, 2003",0.938
"March 31, 2003",0.8299
"Dec. 31, 2002",1.011
"Sept. 30, 2002",0.0093
"June 30, 2002",0.3349
"March 31, 2002",0.5742
"Dec. 31, 2001",0.6099
"Sept. 30, 2001",1.749
"June 30, 2001",1.570
"March 31, 2001",1.491
"Dec. 31, 2000",1.039
"Sept. 30, 2000",1.110
"June 30, 2000",1.054
"March 31, 2000",1.618
"Dec. 31, 1999",1.038
"Sept. 30, 1999",1.541
"June 30, 1999",1.390
"March 31, 1999",1.349
"Dec. 31, 1998",1.460
"Sept. 30, 1998",1.189
"June 30, 1998",1.093
"March 31, 1998",1.200
"Dec. 31, 1997",1.221
"Sept. 30, 1997",1.208
"June 30, 1997",1.154
"March 31, 1997",1.182
"Dec. 31, 1996",1.241
"Sept. 30, 1996",1.259
"June 30, 1996",1.246
"March 31, 1996",1.207
"Dec. 31, 1995",1.173
"Sept. 30, 1995",1.132
"June 30, 1995",1.078
"March 31, 1995",1.048
"Dec. 31, 1994",1.063
"Sept. 30, 1994",1.324
"June 30, 1994",1.514
"March 31, 1994",1.732
