date,three_year_return
"March 19, 2020",21.57%
"March 18, 2020",32.81%
"March 17, 2020",37.20%
"March 16, 2020",23.71%
"March 13, 2020",31.39%
"March 12, 2020",26.21%
"March 11, 2020",37.19%
"March 10, 2020",44.83%
"March 9, 2020",46.45%
"March 6, 2020",47.25%
"March 5, 2020",48.51%
"March 4, 2020",50.06%
"March 3, 2020",43.49%
"March 2, 2020",42.99%
"Feb. 28, 2020",33.28%
"Feb. 27, 2020",37.72%
"Feb. 26, 2020",45.09%
"Feb. 25, 2020",46.20%
"Feb. 24, 2020",48.98%
"Feb. 21, 2020",57.06%
"Feb. 20, 2020",59.69%
"Feb. 19, 2020",61.44%
"Feb. 18, 2020",62.74%
"Feb. 14, 2020",64.00%
"Feb. 13, 2020",61.23%
"Feb. 12, 2020",59.17%
"Feb. 11, 2020",59.84%
"Feb. 10, 2020",59.37%
"Feb. 7, 2020",58.52%
"Feb. 6, 2020",60.22%
"Feb. 5, 2020",59.49%
"Feb. 4, 2020",60.66%
"Feb. 3, 2020",62.77%
"Jan. 31, 2020",62.69%
"Jan. 30, 2020",64.69%
"Jan. 29, 2020",63.27%
"Jan. 28, 2020",62.28%
"Jan. 27, 2020",61.63%
"Jan. 24, 2020",62.73%
"Jan. 23, 2020",61.01%
"Jan. 22, 2020",58.96%
"Jan. 21, 2020",57.91%
"Jan. 17, 2020",54.46%
"Jan. 16, 2020",53.90%
"Jan. 15, 2020",52.78%
"Jan. 14, 2020",50.21%
"Jan. 13, 2020",49.66%
"Jan. 10, 2020",51.87%
"Jan. 9, 2020",50.67%
"Jan. 8, 2020",47.94%
"Jan. 7, 2020",48.38%
"Jan. 6, 2020",48.35%
"Jan. 3, 2020",48.76%
"Jan. 2, 2020",48.44%
"Dec. 31, 2019",50.11%
"Dec. 30, 2019",49.35%
"Dec. 27, 2019",49.20%
"Dec. 26, 2019",48.61%
"Dec. 24, 2019",48.55%
"Dec. 23, 2019",48.41%
"Dec. 20, 2019",50.13%
