date,ebitda_ttm
"Dec. 31, 2019",5.647B
"Sept. 30, 2019",5.716B
"June 30, 2019",5.382B
"March 31, 2019",5.504B
"Dec. 31, 2018",5.358B
"Sept. 30, 2018",5.433B
"June 30, 2018",5.637B
"March 31, 2018",5.530B
"Dec. 31, 2017",5.838B
"Sept. 30, 2017",5.569B
"June 30, 2017",3.470B
"March 31, 2017",3.625B
"Dec. 31, 2016",3.444B
"Sept. 30, 2016",3.430B
"June 30, 2016",5.520B
"March 31, 2016",5.444B
"Dec. 31, 2015",5.652B
"Sept. 30, 2015",5.600B
"June 30, 2015",5.492B
"March 31, 2015",5.406B
"Dec. 31, 2014",5.329B
"Sept. 30, 2014",5.458B
"June 30, 2014",5.389B
"March 31, 2014",5.194B
"Dec. 31, 2013",4.826B
"Sept. 30, 2013",4.464B
"June 30, 2013",4.528B
"March 31, 2013",4.703B
"Dec. 31, 2012",4.728B
"Sept. 30, 2012",4.957B
"June 30, 2012",5.174B
"March 31, 2012",5.076B
"Dec. 31, 2011",5.126B
"Sept. 30, 2011",5.226B
"June 30, 2011",5.042B
"March 31, 2011",4.727B
"Dec. 31, 2010",4.628B
"Sept. 30, 2010",4.492B
"June 30, 2010",4.34B
"March 31, 2010",4.603B
"Dec. 31, 2009",4.571B
"Sept. 30, 2009",4.469B
"June 30, 2009",4.331B
"March 31, 2009",4.269B
"Dec. 31, 2008",4.543B
"Sept. 30, 2008",4.502B
"June 30, 2008",4.497B
"March 31, 2008",4.376B
"Dec. 31, 2007",3.856B
"Sept. 30, 2007",3.821B
"June 30, 2007",3.559B
"March 31, 2007",3.36B
"Dec. 31, 2006",3.414B
"Sept. 30, 2006",3.196B
"June 30, 2006",3.24B
"March 31, 2006",3.311B
"Dec. 31, 2005",3.20B
"Sept. 30, 2005",3.74B
"June 30, 2005",3.803B
"March 31, 2005",3.844B
"Dec. 31, 2004",3.917B
"Sept. 30, 2004",3.103B
"June 30, 2004",3.229B
"March 31, 2004",3.204B
"Dec. 31, 2003",3.198B
"Sept. 30, 2003",3.491B
"June 30, 2003",3.537B
"March 31, 2003",3.521B
"Dec. 31, 2002",3.464B
"Sept. 30, 2002",3.213B
"June 30, 2002",3.281B
"March 31, 2002",3.605B
"Dec. 31, 2001",3.746B
"Sept. 30, 2001",4.243B
"June 30, 2001",4.225B
"March 31, 2001",3.972B
"Dec. 31, 2000",3.447B
"Sept. 30, 2000",3.48B
"June 30, 2000",3.406B
"March 31, 2000",3.549B
"Dec. 31, 1999",3.604B
"Sept. 30, 1999",4.379B
"June 30, 1999",3.818B
"March 31, 1999",3.325B
"Dec. 31, 1998",3.269B
"Sept. 30, 1998",1.947B
"June 30, 1998",1.908B
"March 31, 1998",1.913B
"Dec. 31, 1997",1.946B
"Sept. 30, 1997",1.996B
"June 30, 1997",1.994B
"March 31, 1997",1.973B
"Dec. 31, 1996",1.996B
"Sept. 30, 1996",1.983B
"June 30, 1996",1.941B
"March 31, 1996",1.925B
"Dec. 31, 1995",1.870B
"Sept. 30, 1995",1.808B
"June 30, 1995",1.759B
"March 31, 1995",1.744B
"Dec. 31, 1994",1.711B
"Sept. 30, 1994",2.769B
"June 30, 1994",3.682B
"March 31, 1994",4.412B
"Dec. 31, 1993",5.269B
"Sept. 30, 1993",5.230B
"June 30, 1993",5.106B
"March 31, 1993",5.069B
"Dec. 31, 1992",5.045B
"Sept. 30, 1992",5.026B
"June 30, 1992",5.029B
"March 31, 1992",5.086B
"Dec. 31, 1991",5.047B
"Sept. 30, 1991",5.050B
"June 30, 1991",5.097B
"March 31, 1991",5.126B
"Dec. 31, 1990",5.168B
"Sept. 30, 1990",3.892B
"June 30, 1990",3.856B
"March 31, 1990",3.794B
"Dec. 31, 1989",3.758B
"Sept. 30, 1989",4.989B
"June 30, 1989",4.979B
"March 31, 1989",4.884B
"Dec. 31, 1988",4.841B
"Sept. 30, 1988",4.758B
"June 30, 1988",4.732B
"March 31, 1988",4.773B
"Dec. 31, 1987",4.788B
"Sept. 30, 1987",4.837B
"June 30, 1987",4.786B
"March 31, 1987",4.797B
"Dec. 31, 1986",4.843B
"Sept. 30, 1986",4.845B
"June 30, 1986",4.811B
"March 31, 1986",4.799B
"Dec. 31, 1985",4.848B
"Sept. 30, 1985",4.881B
"June 30, 1985",4.952B
"March 31, 1985",4.985B
"Dec. 31, 1984",4.952B
