date,fulmer_h_score
"Dec. 31, 2019",2.246
"Sept. 30, 2019",2.411
"June 30, 2019",2.330
"March 31, 2019",2.410
"Dec. 31, 2018",2.399
"Sept. 30, 2018",2.481
"June 30, 2018",2.540
"March 31, 2018",2.50
"Dec. 31, 2017",2.632
"Sept. 30, 2017",2.632
"June 30, 2017",1.789
"March 31, 2017",1.865
"Dec. 31, 2016",1.788
"Sept. 30, 2016",1.721
"June 30, 2016",2.617
"March 31, 2016",2.592
"Dec. 31, 2015",2.656
"Sept. 30, 2015",2.660
"June 30, 2015",2.589
"March 31, 2015",2.574
"Dec. 31, 2014",2.53
"Sept. 30, 2014",2.608
"June 30, 2014",2.584
"March 31, 2014",2.556
"Dec. 31, 2013",2.409
"Sept. 30, 2013",2.185
"June 30, 2013",2.154
"March 31, 2013",2.156
"Dec. 31, 2012",2.152
"Sept. 30, 2012",2.285
"June 30, 2012",2.365
"March 31, 2012",2.335
"Dec. 31, 2011",2.331
"Sept. 30, 2011",2.387
"June 30, 2011",2.218
"March 31, 2011",2.08
"Dec. 31, 2010",1.998
"Sept. 30, 2010",1.994
"June 30, 2010",1.906
"March 31, 2010",1.990
"Dec. 31, 2009",1.982
"Sept. 30, 2009",1.899
"June 30, 2009",1.842
"March 31, 2009",1.741
"Dec. 31, 2008",1.911
"Sept. 30, 2008",2.292
"June 30, 2008",2.629
"March 31, 2008",3.220
