date,capex_ttm
"Dec. 31, 2019",6.144B
"Sept. 30, 2019",6.070B
"June 30, 2019",6.130B
"March 31, 2019",6.025B
"Dec. 31, 2018",6.357B
"Sept. 30, 2018",6.662B
"June 30, 2018",6.498B
"March 31, 2018",6.359B
"Dec. 31, 2017",5.799B
"Sept. 30, 2017",5.246B
"June 30, 2017",5.094B
"March 31, 2017",5.030B
"Dec. 31, 2016",4.910B
"Sept. 30, 2016",4.779B
"June 30, 2016",4.731B
"March 31, 2016",4.720B
"Dec. 31, 2015",4.60B
"Sept. 30, 2015",4.576B
"June 30, 2015",4.539B
"March 31, 2015",4.419B
"Dec. 31, 2014",4.246B
"Sept. 30, 2014",4.185B
"June 30, 2014",4.015B
"March 31, 2014",3.836B
"Dec. 31, 2013",3.770B
"Sept. 30, 2013",3.602B
"June 30, 2013",3.446B
"March 31, 2013",3.27B
"Dec. 31, 2012",3.132B
"Sept. 30, 2012",2.933B
"June 30, 2012",2.941B
"March 31, 2012",2.958B
"Dec. 31, 2011",2.775B
"Sept. 30, 2011",2.685B
"June 30, 2011",2.495B
"March 31, 2011",2.358B
"Dec. 31, 2010",2.436B
"Sept. 30, 2010",2.399B
"June 30, 2010",2.419B
"March 31, 2010",2.635B
"Dec. 31, 2009",2.961B
"Sept. 30, 2009",3.401B
"June 30, 2009",3.792B
"March 31, 2009",3.897B
"Dec. 31, 2008",3.80B
"Sept. 30, 2008",4.222B
"June 30, 2008",3.599B
"March 31, 2008",4.111B
"Dec. 31, 2007",4.142B
"Sept. 30, 2007",3.695B
"June 30, 2007",4.167B
"March 31, 2007",3.67B
"Dec. 31, 2006",3.528B
"Sept. 30, 2006",3.222B
"June 30, 2006",2.997B
"March 31, 2006",2.735B
"Dec. 31, 2005",2.404B
"Sept. 30, 2005",2.259B
"June 30, 2005",2.024B
"March 31, 2005",1.825B
"Dec. 31, 2004",1.696B
"Sept. 30, 2004",1.469B
"June 30, 2004",1.409B
"March 31, 2004",1.371B
"Dec. 31, 2003",1.358B
"Sept. 30, 2003",1.484B
"June 30, 2003",1.54B
"March 31, 2003",1.624B
"Dec. 31, 2002",1.685B
"Sept. 30, 2002",1.666B
"June 30, 2002",1.797B
"March 31, 2002",1.87B
"Dec. 31, 2001",1.832B
"Sept. 30, 2001",1.872B
"June 30, 2001",1.784B
"March 31, 2001",1.902B
"Dec. 31, 2000",1.773B
"Sept. 30, 2000",1.737B
"June 30, 2000",1.756B
"March 31, 2000",1.654B
"Dec. 31, 1999",1.68B
"Sept. 30, 1999",1.382B
"June 30, 1999",1.146B
"March 31, 1999",851.00M
"Dec. 31, 1998",792.00M
"Sept. 30, 1998",821.20M
"June 30, 1998",807.10M
"March 31, 1998",787.70M
"Dec. 31, 1997",760.40M
"Sept. 30, 1997",718.00M
"June 30, 1997",693.80M
"March 31, 1997",612.90M
"Dec. 31, 1996",577.70M
"Sept. 30, 1996",534.20M
"June 30, 1996",540.20M
"March 31, 1996",564.40M
"Dec. 31, 1995",606.00M
"Sept. 30, 1995",628.00M
"June 30, 1995",632.00M
"March 31, 1995",664.70M
"Dec. 31, 1994",643.50M
"Sept. 30, 1994",443.20M
"June 30, 1994",292.50M
"March 31, 1994",110.90M
