date,cash_operations_ttm
"Dec. 31, 2019",4.270B
"Sept. 30, 2019",4.640B
"June 30, 2019",5.017B
"March 31, 2019",5.229B
"Dec. 31, 2018",5.223B
"Sept. 30, 2018",5.079B
"June 30, 2018",4.560B
"March 31, 2018",4.266B
"Dec. 31, 2017",4.270B
"Sept. 30, 2017",4.225B
"June 30, 2017",4.513B
"March 31, 2017",4.526B
"Dec. 31, 2016",4.519B
"Sept. 30, 2016",4.316B
"June 30, 2016",4.338B
"March 31, 2016",4.360B
"Dec. 31, 2015",4.818B
"Sept. 30, 2015",4.819B
"June 30, 2015",4.62B
"March 31, 2015",4.738B
"Dec. 31, 2014",4.614B
"Sept. 30, 2014",4.781B
"June 30, 2014",4.787B
"March 31, 2014",4.483B
"Dec. 31, 2013",4.106B
"Sept. 30, 2013",3.932B
"June 30, 2013",3.607B
"March 31, 2013",3.684B
"Dec. 31, 2012",3.804B
"Sept. 30, 2012",3.362B
"June 30, 2012",3.769B
"March 31, 2012",3.834B
"Dec. 31, 2011",3.788B
"Sept. 30, 2011",4.298B
"June 30, 2011",3.812B
"March 31, 2011",3.49B
"Dec. 31, 2010",2.662B
"Sept. 30, 2010",2.306B
"June 30, 2010",2.20B
"March 31, 2010",2.16B
"Dec. 31, 2009",2.475B
"Sept. 30, 2009",2.393B
"June 30, 2009",2.237B
"March 31, 2009",2.267B
"Dec. 31, 2008",2.581B
"Sept. 30, 2008",2.817B
"June 30, 2008",2.62B
"March 31, 2008",2.668B
"Dec. 31, 2007",2.388B
"Sept. 30, 2007",2.166B
"June 30, 2007",2.578B
"March 31, 2007",2.50B
"Dec. 31, 2006",2.732B
"Sept. 30, 2006",2.374B
"June 30, 2006",2.018B
"March 31, 2006",1.793B
"Dec. 31, 2005",1.877B
"Sept. 30, 2005",2.132B
"June 30, 2005",2.418B
"March 31, 2005",2.481B
"Dec. 31, 2004",2.711B
"Sept. 30, 2004",2.837B
"June 30, 2004",2.718B
"March 31, 2004",2.384B
"Dec. 31, 2003",2.308B
"Sept. 30, 2003",3.07B
"June 30, 2003",2.835B
"March 31, 2003",2.902B
"Dec. 31, 2002",2.067B
"Sept. 30, 2002",2.502B
"June 30, 2002",2.411B
"March 31, 2002",2.355B
"Dec. 31, 2001",2.953B
"Sept. 30, 2001",2.172B
"June 30, 2001",1.773B
"March 31, 2001",1.799B
"Dec. 31, 2000",1.503B
"Sept. 30, 2000",949.00M
"June 30, 2000",1.458B
"March 31, 2000",1.499B
"Dec. 31, 1999",1.614B
"Sept. 30, 1999",1.378B
"June 30, 1999",985.00M
"March 31, 1999",1.094B
"Dec. 31, 1998",1.03B
"Sept. 30, 1998",1.077B
"June 30, 1998",1.202B
"March 31, 1998",1.120B
"Dec. 31, 1997",1.198B
"Sept. 30, 1997",1.218B
"June 30, 1997",1.249B
"March 31, 1997",1.241B
"Dec. 31, 1996",1.237B
"Sept. 30, 1996",1.235B
"June 30, 1996",1.277B
"March 31, 1996",1.135B
"Dec. 31, 1995",1.057B
"Sept. 30, 1995",963.90M
"June 30, 1995",881.90M
"March 31, 1995",961.80M
"Dec. 31, 1994",977.70M
