date,springate_score
"Dec. 31, 2019",0.424
"Sept. 30, 2019",0.4921
"June 30, 2019",0.4566
"March 31, 2019",0.4797
"Dec. 31, 2018",0.4618
"Sept. 30, 2018",0.5047
"June 30, 2018",0.5279
"March 31, 2018",0.5157
"Dec. 31, 2017",0.5806
"Sept. 30, 2017",0.5748
"June 30, 2017",0.2784
"March 31, 2017",0.3066
"Dec. 31, 2016",0.3002
"Sept. 30, 2016",0.3243
"June 30, 2016",0.5999
"March 31, 2016",0.6072
"Dec. 31, 2015",0.6357
"Sept. 30, 2015",0.6402
"June 30, 2015",0.6291
"March 31, 2015",0.6188
"Dec. 31, 2014",0.6147
"Sept. 30, 2014",0.6727
"June 30, 2014",0.6844
"March 31, 2014",0.6901
"Dec. 31, 2013",0.6431
"Sept. 30, 2013",0.593
"June 30, 2013",0.5843
"March 31, 2013",0.6204
"Dec. 31, 2012",0.6107
"Sept. 30, 2012",0.6449
"June 30, 2012",0.7106
"March 31, 2012",0.7135
"Dec. 31, 2011",0.7213
"Sept. 30, 2011",0.7712
"June 30, 2011",0.7476
"March 31, 2011",0.6975
"Dec. 31, 2010",0.6909
"Sept. 30, 2010",0.7314
"June 30, 2010",0.7281
"March 31, 2010",0.7694
"Dec. 31, 2009",0.7442
"Sept. 30, 2009",0.7391
"June 30, 2009",0.7013
"March 31, 2009",0.6745
"Dec. 31, 2008",0.7497
"Sept. 30, 2008",0.7552
"June 30, 2008",0.7367
"March 31, 2008",0.6942
