date,tobin_q
"Dec. 31, 2019",1.028
"Sept. 30, 2019",1.019
"June 30, 2019",0.9914
"March 31, 2019",0.9657
"Dec. 31, 2018",0.9164
"Sept. 30, 2018",0.8808
"June 30, 2018",0.8729
"March 31, 2018",0.8834
"Dec. 31, 2017",0.9213
"Sept. 30, 2017",0.878
"June 30, 2017",0.8854
"March 31, 2017",0.8753
"Dec. 31, 2016",0.8162
"Sept. 30, 2016",0.8255
"June 30, 2016",0.8754
"March 31, 2016",0.8553
"Dec. 31, 2015",0.8007
"Sept. 30, 2015",0.7859
"June 30, 2015",0.7577
"March 31, 2015",0.7886
"Dec. 31, 2014",0.8266
"Sept. 30, 2014",0.7694
"June 30, 2014",0.8005
"March 31, 2014",0.7606
"Dec. 31, 2013",0.7344
"Sept. 30, 2013",0.7041
"June 30, 2013",0.7183
"March 31, 2013",0.7573
"Dec. 31, 2012",0.709
"Sept. 30, 2012",0.7136
"June 30, 2012",0.6849
"March 31, 2012",0.6833
"Dec. 31, 2011",0.7177
"Sept. 30, 2011",0.6809
"June 30, 2011",0.687
"March 31, 2011",0.6677
"Dec. 31, 2010",0.6799
"Sept. 30, 2010",0.6838
"June 30, 2010",0.6363
"March 31, 2010",0.6579
"Dec. 31, 2009",0.6817
"Sept. 30, 2009",0.6572
"June 30, 2009",0.6537
"March 31, 2009",0.6204
"Dec. 31, 2008",0.6992
"Sept. 30, 2008",0.7426
"June 30, 2008",0.7725
"March 31, 2008",0.8043
"Dec. 31, 2007",0.8676
"Sept. 30, 2007",0.8641
"June 30, 2007",0.857
"March 31, 2007",0.8991
"Dec. 31, 2006",0.821
"Sept. 30, 2006",0.7625
"June 30, 2006",0.7364
"March 31, 2006",0.7297
"Dec. 31, 2005",0.7517
"Sept. 30, 2005",0.7617
"June 30, 2005",0.7668
"March 31, 2005",0.7089
"Dec. 31, 2004",0.739
"Sept. 30, 2004",0.6988
"June 30, 2004",0.7191
"March 31, 2004",0.7277
"Dec. 31, 2003",0.6941
"Sept. 30, 2003",0.6758
"June 30, 2003",0.6618
"March 31, 2003",0.5568
"Dec. 31, 2002",0.598
"Sept. 30, 2002",0.4794
"June 30, 2002",0.5363
"March 31, 2002",0.6039
"Dec. 31, 2001",0.62
"Sept. 30, 2001",0.5267
"June 30, 2001",0.577
"March 31, 2001",0.6608
"Dec. 31, 2000",0.555
"Sept. 30, 2000",0.662
"June 30, 2000",0.571
"March 31, 2000",0.6201
"Dec. 31, 1999",0.5427
"Sept. 30, 1999",0.6894
"June 30, 1999",0.722
"March 31, 1999",0.7613
"Dec. 31, 1998",0.8513
"Sept. 30, 1998",0.8745
"June 30, 1998",0.8084
"March 31, 1998",0.9163
"Dec. 31, 1997",0.9436
"Sept. 30, 1997",0.8804
"June 30, 1997",0.837
"March 31, 1997",0.8272
"Dec. 31, 1996",0.8361
"Sept. 30, 1996",0.829
"June 30, 1996",0.8507
"March 31, 1996",0.8402
"Dec. 31, 1995",0.8405
"Sept. 30, 1995",0.8001
"June 30, 1995",0.7741
"March 31, 1995",0.747
"Dec. 31, 1994",0.7649
"Sept. 30, 1994",0.7571
"June 30, 1994",0.7179
"March 31, 1994",0.7475
