date,revenue_per_employee_annual
"Dec. 31, 2019",889477.0
"Dec. 31, 2018",918957.1
"Dec. 31, 2017",873932.0
"Dec. 31, 2016",934963.9
"Dec. 31, 2015",915745.5
"Dec. 31, 2014",884135.0
"Dec. 31, 2013",799994.6
"Dec. 31, 2012",802998.1
"Dec. 31, 2011",807867.0
"Dec. 31, 2010",714473.2
"Dec. 31, 2009",618974.4
"Dec. 31, 2008",675192.3
"Dec. 31, 2007",647894.8
"Dec. 31, 2006",629966.1
"Dec. 31, 2005",612858.3
"Dec. 31, 2004",678850.6
"Dec. 31, 2003",671814.8
"Dec. 31, 2002",539139.5
"Dec. 31, 2001",471442.8
"Dec. 31, 2000",1.681M
"Dec. 31, 1999",1.404M
"Dec. 31, 1998",661692.8
"Dec. 31, 1997",328526.3
"Dec. 31, 1996",320917.3
"Dec. 31, 1995",297170.0
"Dec. 31, 1994",277545.6
"Dec. 31, 1993",257971.0
"Dec. 31, 1992",234767.4
"Dec. 31, 1991",224622.8
"Dec. 31, 1990",227152.8
