date,times_interest_earned
"Dec. 31, 2019",2.711
"Sept. 30, 2019",3.048
"June 30, 2019",2.811
"March 31, 2019",3.021
"Dec. 31, 2018",3.005
"Sept. 30, 2018",3.206
"June 30, 2018",3.635
"March 31, 2018",3.664
"Dec. 31, 2017",4.147
"Sept. 30, 2017",4.146
"June 30, 2017",1.660
"March 31, 2017",1.808
"Dec. 31, 2016",1.571
"Sept. 30, 2016",1.423
"June 30, 2016",3.838
"March 31, 2016",3.804
"Dec. 31, 2015",4.038
"Sept. 30, 2015",3.989
"June 30, 2015",3.936
"March 31, 2015",3.875
"Dec. 31, 2014",3.784
"Sept. 30, 2014",4.086
"June 30, 2014",4.017
"March 31, 2014",3.985
"Dec. 31, 2013",3.585
"Sept. 30, 2013",2.816
"June 30, 2013",2.835
"March 31, 2013",2.839
"Dec. 31, 2012",2.867
"Sept. 30, 2012",3.307
"June 30, 2012",3.649
"March 31, 2012",3.617
"Dec. 31, 2011",3.642
"Sept. 30, 2011",3.631
"June 30, 2011",3.366
"March 31, 2011",3.059
"Dec. 31, 2010",2.964
"Sept. 30, 2010",2.933
"June 30, 2010",2.776
"March 31, 2010",3.033
"Dec. 31, 2009",3.058
"Sept. 30, 2009",2.890
"June 30, 2009",2.893
"March 31, 2009",2.867
"Dec. 31, 2008",3.302
"Sept. 30, 2008",4.681
"June 30, 2008",6.953
"March 31, 2008",14.00
