date,return_on_invested_capital
"Dec. 31, 2019",4.09%
"Sept. 30, 2019",4.64%
"June 30, 2019",4.40%
"March 31, 2019",4.64%
"Dec. 31, 2018",4.46%
"Sept. 30, 2018",4.65%
"June 30, 2018",4.67%
"March 31, 2018",4.41%
"Dec. 31, 2017",4.83%
"Sept. 30, 2017",4.82%
"June 30, 2017",1.47%
"March 31, 2017",1.79%
"Dec. 31, 2016",1.56%
"Sept. 30, 2016",1.82%
"June 30, 2016",5.15%
"March 31, 2016",5.03%
"Dec. 31, 2015",5.43%
"Sept. 30, 2015",4.75%
"June 30, 2015",4.72%
"March 31, 2015",4.67%
"Dec. 31, 2014",4.53%
"Sept. 30, 2014",5.03%
"June 30, 2014",4.90%
"March 31, 2014",4.80%
"Dec. 31, 2013",4.29%
"Sept. 30, 2013",3.37%
"June 30, 2013",3.55%
"March 31, 2013",3.65%
"Dec. 31, 2012",3.76%
"Sept. 30, 2012",4.67%
"June 30, 2012",6.06%
"March 31, 2012",6.07%
"Dec. 31, 2011",6.02%
"Sept. 30, 2011",5.62%
"June 30, 2011",4.47%
"March 31, 2011",3.80%
"Dec. 31, 2010",3.82%
"Sept. 30, 2010",4.04%
"June 30, 2010",3.74%
"March 31, 2010",4.39%
"Dec. 31, 2009",4.54%
"Sept. 30, 2009",4.32%
"June 30, 2009",4.19%
"March 31, 2009",4.17%
"Dec. 31, 2008",5.08%
"Sept. 30, 2008",5.50%
"June 30, 2008",5.77%
"March 31, 2008",5.53%
"Dec. 31, 2007",4.45%
"Sept. 30, 2007",4.37%
"June 30, 2007",3.87%
"March 31, 2007",3.95%
"Dec. 31, 2006",4.52%
"Sept. 30, 2006",3.10%
"June 30, 2006",3.73%
"March 31, 2006",4.01%
"Dec. 31, 2005",3.92%
"Sept. 30, 2005",5.50%
"June 30, 2005",6.11%
"March 31, 2005",5.44%
"Dec. 31, 2004",5.02%
"Sept. 30, 2004",0.68%
"June 30, 2004",-0.55%
"March 31, 2004",-0.22%
"Dec. 31, 2003",-0.60%
"Sept. 30, 2003",-0.94%
"June 30, 2003",-0.17%
"March 31, 2003",-0.66%
"Dec. 31, 2002",-0.72%
"Sept. 30, 2002",2.97%
"June 30, 2002",2.93%
"March 31, 2002",3.60%
"Dec. 31, 2001",4.00%
"Sept. 30, 2001",2.88%
"June 30, 2001",2.64%
"March 31, 2001",1.80%
"Dec. 31, 2000",1.07%
"Sept. 30, 2000",3.30%
"June 30, 2000",3.92%
"March 31, 2000",5.78%
"Dec. 31, 1999",6.14%
"Sept. 30, 1999",9.87%
"June 30, 1999",8.57%
"March 31, 1999",8.29%
"Dec. 31, 1998",8.57%
"Sept. 30, 1998",5.37%
"June 30, 1998",4.45%
"March 31, 1998",4.54%
"Dec. 31, 1997",4.79%
"Sept. 30, 1997",4.89%
"June 30, 1997",5.59%
"March 31, 1997",5.56%
"Dec. 31, 1996",5.61%
"Sept. 30, 1996",5.60%
"June 30, 1996",5.49%
"March 31, 1996",5.35%
"Dec. 31, 1995",5.05%
"Sept. 30, 1995",4.81%
"June 30, 1995",4.67%
"March 31, 1995",4.79%
"Dec. 31, 1994",4.85%
"Sept. 30, 1994",5.28%
