date,ohlson_score
"Dec. 31, 2019",4.353
"Sept. 30, 2019",1.769
"June 30, 2019",2.108
"March 31, 2019",1.763
"Dec. 31, 2018",2.302
"Sept. 30, 2018",1.684
"June 30, 2018",1.829
"March 31, 2018",2.098
"Dec. 31, 2017",2.059
"Sept. 30, 2017",1.590
"June 30, 2017",2.418
"March 31, 2017",1.898
"Dec. 31, 2016",0.081
"Sept. 30, 2016",0.5365
"June 30, 2016",1.699
"March 31, 2016",1.648
"Dec. 31, 2015",1.740
"Sept. 30, 2015",1.453
"June 30, 2015",1.822
"March 31, 2015",1.354
"Dec. 31, 2014",2.623
"Sept. 30, 2014",1.670
"June 30, 2014",1.988
"March 31, 2014",1.349
"Dec. 31, 2013",1.630
"Sept. 30, 2013",1.311
"June 30, 2013",1.573
"March 31, 2013",1.040
"Dec. 31, 2012",13.18
"Sept. 30, 2012",1.442
"June 30, 2012",1.595
"March 31, 2012",1.520
"Dec. 31, 2011",2.735
"Sept. 30, 2011",1.115
"June 30, 2011",1.478
"March 31, 2011",1.248
"Dec. 31, 2010",2.688
"Sept. 30, 2010",1.012
"June 30, 2010",2.133
"March 31, 2010",1.157
"Dec. 31, 2009",1.863
"Sept. 30, 2009",1.242
"June 30, 2009",1.628
"March 31, 2009",1.724
"Dec. 31, 2008",2.882
"Sept. 30, 2008",1.717
"June 30, 2008",2.395
"March 31, 2008",1.641
"Dec. 31, 2007",2.533
"Sept. 30, 2007",1.744
"June 30, 2007",2.515
"March 31, 2007",1.975
"Dec. 31, 2006",2.281
"Sept. 30, 2006",2.019
"June 30, 2006",2.500
"March 31, 2006",1.242
"Dec. 31, 2005",0.0674
"Sept. 30, 2005",1.517
"June 30, 2005",2.204
"March 31, 2005",1.673
"Dec. 31, 2004",2.913
"Sept. 30, 2004",1.436
"June 30, 2004",3.064
"March 31, 2004",0.184
"Dec. 31, 2003",1.405
"Sept. 30, 2003",1.574
"June 30, 2003",1.78
"March 31, 2003",-0.9543
"Dec. 31, 2002",1.693
"Sept. 30, 2002",1.586
"June 30, 2002",3.158
"March 31, 2002",1.922
"Dec. 31, 2001",6.049
"Sept. 30, 2001",1.995
"June 30, 2001",2.346
"March 31, 2001",1.428
"Dec. 31, 2000",1.017
"Sept. 30, 2000",1.782
"June 30, 2000",-4.315
"March 31, 2000",2.860
"Dec. 31, 1999",2.727
"Sept. 30, 1999",1.912
"June 30, 1999",2.172
"March 31, 1999",3.428
"Dec. 31, 1998",1.730
"Sept. 30, 1998",1.666
"June 30, 1998",2.075
"March 31, 1998",1.883
"Dec. 31, 1997",1.896
"Sept. 30, 1997",2.106
"June 30, 1997",2.194
"March 31, 1997",1.812
"Dec. 31, 1996",1.742
"Sept. 30, 1996",1.339
"June 30, 1996",1.931
"March 31, 1996",1.545
"Dec. 31, 1995",1.829
"Sept. 30, 1995",1.491
"June 30, 1995",2.020
"March 31, 1995",1.713
"Dec. 31, 1994",2.057
