date,sales_est_0q
"March 11, 2020",4.479B
"March 3, 2020",4.479B
"Jan. 16, 2020",4.479B
"Jan. 7, 2020",4.479B
"Dec. 31, 2019",4.365B
"Nov. 12, 2019",4.142B
"Nov. 6, 2019",4.042B
"Oct. 28, 2019",4.397B
"Oct. 25, 2019",4.056B
"Oct. 21, 2019",4.221B
"Oct. 11, 2019",4.105B
"Sept. 30, 2019",4.587B
"Sept. 9, 2019",4.583B
"July 30, 2019",4.583B
"July 26, 2019",4.507B
"July 18, 2019",4.583B
"July 15, 2019",4.583B
"July 12, 2019",4.587B
"June 30, 2019",4.134B
"May 9, 2019",4.127B
"May 7, 2019",4.108B
"April 30, 2019",4.108B
"April 26, 2019",4.100B
"April 25, 2019",4.119B
"April 17, 2019",4.107B
"April 15, 2019",4.119B
"March 31, 2019",4.225B
"March 19, 2019",4.207B
"March 14, 2019",4.239B
"March 12, 2019",4.211B
"March 1, 2019",4.215B
"Jan. 31, 2019",4.214B
"Jan. 25, 2019",4.194B
"Jan. 24, 2019",4.122B
"Jan. 7, 2019",4.123B
"Jan. 4, 2019",4.136B
"Dec. 31, 2018",3.971B
"Dec. 4, 2018",3.907B
"Oct. 30, 2018",3.891B
"Oct. 29, 2018",3.891B
"Oct. 26, 2018",3.817B
"Oct. 25, 2018",3.824B
"Oct. 15, 2018",3.819B
"Oct. 9, 2018",3.780B
"Sept. 30, 2018",4.279B
"Sept. 10, 2018",4.178B
"Sept. 5, 2018",4.213B
"Aug. 7, 2018",4.170B
"July 31, 2018",4.067B
"July 26, 2018",4.067B
"July 25, 2018",4.306B
"July 20, 2018",4.305B
"July 19, 2018",4.304B
"July 11, 2018",4.341B
"June 30, 2018",3.852B
"June 18, 2018",4.000B
"May 11, 2018",4.000B
"April 27, 2018",3.990B
"April 26, 2018",4.014B
"April 23, 2018",4.001B
"April 20, 2018",4.001B
"April 10, 2018",4.000B
"March 31, 2018",4.002B
"Feb. 20, 2018",4.180B
"Jan. 30, 2018",4.145B
"Jan. 25, 2018",4.275B
"Jan. 22, 2018",4.268B
"Jan. 19, 2018",4.266B
"Jan. 10, 2018",4.266B
"Jan. 2, 2018",4.263B
