date,shares_outstanding
"Feb. 24, 2020",494.83M
"Dec. 31, 2019",494.17M
"Oct. 24, 2019",493.95M
"Sept. 30, 2019",493.94M
"July 25, 2019",493.80M
"June 30, 2019",493.76M
"April 25, 2019",493.44M
"March 31, 2019",493.43M
"Feb. 25, 2019",493.29M
"Dec. 31, 2018",493.25M
"Oct. 25, 2018",493.11M
"Sept. 30, 2018",493.10M
"July 26, 2018",492.93M
"June 30, 2018",492.93M
"April 26, 2018",492.52M
"March 31, 2018",492.51M
"Feb. 26, 2018",492.29M
"Dec. 31, 2017",492.01M
"Dec. 12, 2017",492.00M
"Oct. 26, 2017",491.88M
"Sept. 30, 2017",491.84M
"July 27, 2017",491.84M
"June 30, 2017",491.84M
"April 27, 2017",491.71M
"March 31, 2017",491.71M
"Feb. 28, 2017",491.71M
"Dec. 31, 2016",491.71M
"Nov. 1, 2016",491.71M
"July 28, 2016",491.71M
"June 30, 2016",491.66M
"April 28, 2016",491.31M
"March 31, 2016",491.24M
"Feb. 29, 2016",491.07M
"Dec. 31, 2015",491.05M
"Oct. 22, 2015",490.82M
"Sept. 30, 2015",490.80M
"July 23, 2015",490.56M
"June 30, 2015",490.55M
"April 23, 2015",489.94M
"March 31, 2015",489.93M
"Feb. 23, 2015",489.62M
"Dec. 31, 2014",489.40M
"Oct. 23, 2014",489.24M
"Sept. 30, 2014",489.23M
"July 24, 2014",488.67M
"June 30, 2014",488.57M
"April 23, 2014",488.08M
"March 31, 2014",488.06M
"Feb. 24, 2014",487.82M
"Dec. 31, 2013",487.78M
"Oct. 24, 2013",487.29M
"Sept. 30, 2013",487.26M
"July 25, 2013",486.77M
"June 30, 2013",486.74M
"April 25, 2013",486.05M
"March 31, 2013",486.02M
"Feb. 25, 2013",485.79M
"Dec. 31, 2012",485.67M
"Oct. 25, 2012",485.25M
"Sept. 30, 2012",485.22M
"July 26, 2012",484.90M
"June 30, 2012",484.83M
"April 26, 2012",484.32M
"March 31, 2012",484.23M
"Feb. 27, 2012",483.90M
"Dec. 31, 2011",483.42M
"Oct. 27, 2011",482.91M
"Sept. 30, 2011",482.87M
"July 28, 2011",482.27M
"June 30, 2011",482.23M
"April 29, 2011",481.79M
"March 31, 2011",481.70M
"Feb. 28, 2011",481.10M
"Dec. 31, 2010",480.81M
"Oct. 29, 2010",480.28M
"Sept. 30, 2010",480.04M
"July 29, 2010",479.44M
"June 30, 2010",479.38M
"April 29, 2010",478.87M
"March 31, 2010",478.85M
"March 1, 2010",478.50M
"Dec. 31, 2009",478.05M
"Oct. 28, 2009",477.66M
"Sept. 30, 2009",477.40M
"July 30, 2009",476.79M
"June 30, 2009",476.78M
"April 30, 2009",476.76M
"Dec. 31, 2008",406.07M
"Oct. 30, 2008",403.55M
"July 31, 2008",402.26M
"June 30, 2008",402.13M
"April 30, 2008",401.59M
"March 31, 2008",401.51M
"Feb. 28, 2008",400.43M
"Dec. 31, 2007",400.43M
"Sept. 30, 2007",400.01M
"June 30, 2007",399.20M
"March 31, 2007",398.77M
"Dec. 31, 2006",396.67M
"Oct. 31, 2006",395.57M
"Sept. 30, 2006",394.48M
"June 30, 2006",393.98M
"April 28, 2006",393.91M
"March 31, 2006",393.91M
"Dec. 31, 2005",393.72M
"Oct. 31, 2005",393.68M
"Sept. 30, 2005",393.46M
"July 29, 2005",384.77M
"June 30, 2005",384.40M
"April 29, 2005",384.02M
"March 31, 2005",383.93M
"March 1, 2005",395.86M
"Dec. 31, 2004",395.86M
"Oct. 29, 2004",395.71M
"Sept. 30, 2004",395.70M
"July 30, 2004",395.66M
"June 30, 2004",395.66M
"April 30, 2004",395.00M
"March 31, 2004",395.64M
"March 11, 2004",395.02M
"Dec. 31, 2003",395.02M
"Oct. 31, 2003",395.01M
"Sept. 30, 2003",395.00M
"July 31, 2003",395.00M
"June 30, 2003",395.00M
"April 30, 2003",394.99M
"March 31, 2003",394.99M
"Dec. 31, 2002",338.84M
"Oct. 31, 2002",338.84M
"Sept. 30, 2002",338.84M
"July 31, 2002",338.84M
"June 30, 2002",338.83M
"June 28, 2002",338.83M
"April 30, 2002",322.82M
"March 31, 2002",322.62M
"Feb. 1, 2002",322.37M
"Dec. 31, 2001",322.24M
"Oct. 31, 2001",322.24M
"Sept. 30, 2001",322.20M
"July 31, 2001",322.20M
"June 30, 2001",322.20M
"April 30, 2001",322.15M
"March 31, 2001",322.10M
"Feb. 1, 2001",322.02M
"Dec. 31, 2000",322.02M
"Oct. 31, 2000",321.99M
"Sept. 30, 2000",321.99M
"June 30, 2000",321.99M
"April 30, 2000",194.10M
"March 31, 2000",194.10M
"Feb. 1, 2000",194.10M
"Dec. 31, 1999",194.10M
"Sept. 30, 1999",194.09M
"June 30, 1999",193.29M
"March 31, 1999",192.56M
"Feb. 1, 1999",191.84M
"Dec. 31, 1998",191.82M
"Sept. 30, 1998",191.34M
"June 30, 1998",190.87M
"March 31, 1998",190.38M
"Feb. 13, 1998",189.99M
"Dec. 31, 1997",189.99M
"Sept. 30, 1997",189.61M
"June 30, 1997",189.19M
"March 31, 1997",188.30M
"March 7, 1997",188.24M
"Dec. 31, 1996",188.24M
"Sept. 30, 1996",187.84M
"June 30, 1996",187.44M
"March 31, 1996",186.98M
"Feb. 2, 1996",186.64M
"Dec. 31, 1995",186.64M
"Sept. 30, 1995",186.28M
"June 30, 1995",185.94M
"March 31, 1995",185.58M
"Feb. 3, 1995",185.24M
"Dec. 31, 1994",185.24M
"Sept. 30, 1994",184.88M
"June 30, 1994",184.54M
"March 31, 1994",184.54M
"Dec. 31, 1993",184.54M
"Sept. 30, 1993",184.54M
"June 30, 1993",184.54M
"March 31, 1993",184.54M
"Dec. 31, 1992",184.54M
"Sept. 30, 1992",184.54M
"June 30, 1992",184.54M
"March 31, 1992",184.54M
