date,net_income_annual_cs_rev
"Dec. 31, 2019",12.35%
"Dec. 31, 2018",11.88%
"Dec. 31, 2017",12.40%
"Dec. 31, 2016",3.73%
"Dec. 31, 2015",12.44%
"Dec. 31, 2014",9.98%
"Dec. 31, 2013",9.99%
"Dec. 31, 2012",8.42%
"Dec. 31, 2011",12.87%
"Dec. 31, 2010",8.41%
"Dec. 31, 2009",10.08%
"Dec. 31, 2008",9.58%
"Dec. 31, 2007",8.14%
"Dec. 31, 2006",7.94%
"Dec. 31, 2005",6.72%
"Dec. 31, 2004",7.64%
"Dec. 31, 2003",0.74%
"Dec. 31, 2002",-3.87%
"Dec. 31, 2001",7.61%
"Dec. 31, 2000",0.73%
"Dec. 31, 1999",3.93%
"Dec. 31, 1998",8.23%
"Dec. 31, 1997",8.69%
"Dec. 31, 1996",10.04%
"Dec. 31, 1995",9.35%
"Dec. 31, 1994",9.08%
"Dec. 31, 1993",6.72%
"Dec. 31, 1992",9.28%
"Dec. 31, 1991",9.87%
"Dec. 31, 1990",9.61%
"Dec. 31, 1989",12.23%
"Dec. 31, 1988",12.95%
"Dec. 31, 1987",10.50%
"Dec. 31, 1986",10.47%
"Dec. 31, 1985",10.00%
"Dec. 31, 1984",9.85%
