date,gross_profit_margin
"Dec. 31, 2019",38.55%
"Sept. 30, 2019",44.59%
"June 30, 2019",41.30%
"March 31, 2019",42.01%
"Dec. 31, 2018",39.26%
"Sept. 30, 2018",36.13%
"June 30, 2018",39.70%
"March 31, 2018",37.83%
"Dec. 31, 2017",41.90%
"Sept. 30, 2017",43.03%
"June 30, 2017",41.34%
"March 31, 2017",40.70%
"Dec. 31, 2016",31.60%
"Sept. 30, 2016",41.72%
"June 30, 2016",41.86%
"March 31, 2016",40.65%
"Dec. 31, 2015",32.85%
"Sept. 30, 2015",39.34%
"June 30, 2015",40.27%
"March 31, 2015",40.26%
"Dec. 31, 2014",29.64%
"Sept. 30, 2014",39.27%
"June 30, 2014",35.31%
"March 31, 2014",38.08%
"Dec. 31, 2013",36.75%
"Sept. 30, 2013",40.64%
"June 30, 2013",38.14%
"March 31, 2013",36.41%
"Dec. 31, 2012",32.30%
"Sept. 30, 2012",38.96%
"June 30, 2012",39.65%
"March 31, 2012",38.46%
"Dec. 31, 2011",-58.33%
"Sept. 30, 2011",61.57%
"June 30, 2011",64.89%
"March 31, 2011",64.32%
"Dec. 31, 2010",-59.96%
"Sept. 30, 2010",64.67%
"June 30, 2010",66.61%
"March 31, 2010",64.92%
"Dec. 31, 2009",66.27%
"Sept. 30, 2009",66.79%
"June 30, 2009",68.08%
"March 31, 2009",64.60%
"Dec. 31, 2008",62.33%
"Sept. 30, 2008",55.29%
"June 30, 2008",59.98%
"March 31, 2008",64.15%
"Dec. 31, 2007",62.79%
"Sept. 30, 2007",61.55%
"June 30, 2007",63.16%
"March 31, 2007",64.28%
"Dec. 31, 2006",65.25%
"Sept. 30, 2006",61.49%
"June 30, 2006",61.68%
"March 31, 2006",63.74%
"Dec. 31, 2005",61.12%
"Sept. 30, 2005",62.38%
"June 30, 2005",64.95%
"March 31, 2005",61.89%
"Dec. 31, 2004",49.28%
"Sept. 30, 2004",52.90%
"June 30, 2004",55.38%
"March 31, 2004",59.51%
"Dec. 31, 2003",58.44%
"Sept. 30, 2003",54.48%
"June 30, 2003",52.96%
"March 31, 2003",53.40%
"Dec. 31, 2002",65.95%
"Sept. 30, 2002",58.10%
"June 30, 2002",60.32%
"March 31, 2002",15.71%
"Dec. 31, 2001",-3.46%
"Sept. 30, 2001",12.93%
"June 30, 2001",14.87%
"March 31, 2001",14.98%
"Dec. 31, 2000",3.38%
"Sept. 30, 2000",68.45%
"June 30, 2000",22.35%
"March 31, 2000",70.73%
"Dec. 31, 1999",4.77%
"Sept. 30, 1999",69.65%
"June 30, 1999",72.25%
"March 31, 1999",71.02%
"Dec. 31, 1998",74.45%
"Sept. 30, 1998",64.91%
"June 30, 1998",64.42%
"March 31, 1998",68.11%
"Dec. 31, 1997",70.99%
"Sept. 30, 1997",66.99%
"June 30, 1997",71.65%
"March 31, 1997",70.87%
"Dec. 31, 1996",70.65%
"Sept. 30, 1996",71.94%
"June 30, 1996",71.10%
"March 31, 1996",70.94%
"Dec. 31, 1995",71.94%
"Sept. 30, 1995",70.03%
"June 30, 1995",72.64%
"March 31, 1995",70.91%
"Dec. 31, 1994",69.93%
"Sept. 30, 1994",69.17%
"June 30, 1994",68.06%
"March 31, 1994",66.29%
