date,return_on_equity
"Dec. 31, 2019",9.92%
"Sept. 30, 2019",11.07%
"June 30, 2019",10.37%
"March 31, 2019",10.81%
"Dec. 31, 2018",10.28%
"Sept. 30, 2018",10.59%
"June 30, 2018",10.55%
"March 31, 2018",9.82%
"Dec. 31, 2017",10.71%
"Sept. 30, 2017",10.68%
"June 30, 2017",3.24%
"March 31, 2017",3.95%
"Dec. 31, 2016",3.43%
"Sept. 30, 2016",3.95%
"June 30, 2016",11.12%
"March 31, 2016",10.86%
"Dec. 31, 2015",11.75%
"Sept. 30, 2015",10.27%
"June 30, 2015",10.26%
"March 31, 2015",10.15%
"Dec. 31, 2014",9.87%
"Sept. 30, 2014",10.95%
"June 30, 2014",10.76%
"March 31, 2014",10.59%
"Dec. 31, 2013",9.49%
"Sept. 30, 2013",7.47%
"June 30, 2013",7.90%
"March 31, 2013",8.13%
"Dec. 31, 2012",8.39%
"Sept. 30, 2012",10.40%
"June 30, 2012",13.61%
"March 31, 2012",13.78%
"Dec. 31, 2011",13.77%
"Sept. 30, 2011",13.01%
"June 30, 2011",10.54%
"March 31, 2011",9.04%
"Dec. 31, 2010",9.06%
"Sept. 30, 2010",9.60%
"June 30, 2010",8.88%
"March 31, 2010",10.63%
"Dec. 31, 2009",11.22%
"Sept. 30, 2009",10.92%
"June 30, 2009",10.77%
"March 31, 2009",10.90%
"Dec. 31, 2008",13.09%
"Sept. 30, 2008",14.04%
"June 30, 2008",14.71%
"March 31, 2008",14.01%
"Dec. 31, 2007",11.20%
"Sept. 30, 2007",10.81%
"June 30, 2007",9.43%
"March 31, 2007",9.43%
"Dec. 31, 2006",10.70%
"Sept. 30, 2006",7.24%
"June 30, 2006",8.77%
"March 31, 2006",9.52%
"Dec. 31, 2005",9.41%
"Sept. 30, 2005",13.43%
"June 30, 2005",15.45%
"March 31, 2005",14.10%
"Dec. 31, 2004",13.34%
"Sept. 30, 2004",1.84%
"June 30, 2004",-1.50%
"March 31, 2004",-0.58%
"Dec. 31, 2003",-1.64%
"Sept. 30, 2003",-2.52%
"June 30, 2003",-0.48%
"March 31, 2003",-1.87%
"Dec. 31, 2002",-2.08%
"Sept. 30, 2002",8.60%
"June 30, 2002",8.66%
"March 31, 2002",10.81%
"Dec. 31, 2001",11.88%
"Sept. 30, 2001",8.49%
"June 30, 2001",7.76%
"March 31, 2001",5.22%
"Dec. 31, 2000",3.02%
"Sept. 30, 2000",9.16%
"June 30, 2000",10.72%
"March 31, 2000",15.47%
"Dec. 31, 1999",16.37%
"Sept. 30, 1999",25.38%
"June 30, 1999",21.53%
"March 31, 1999",20.22%
"Dec. 31, 1998",20.42%
"Sept. 30, 1998",12.46%
"June 30, 1998",10.36%
"March 31, 1998",10.49%
"Dec. 31, 1997",11.04%
"Sept. 30, 1997",11.26%
"June 30, 1997",12.92%
"March 31, 1997",12.86%
"Dec. 31, 1996",13.19%
"Sept. 30, 1996",13.31%
"June 30, 1996",13.27%
"March 31, 1996",13.00%
"Dec. 31, 1995",12.37%
"Sept. 30, 1995",11.78%
"June 30, 1995",11.51%
"March 31, 1995",11.72%
"Dec. 31, 1994",11.88%
"Sept. 30, 1994",12.88%
