date,liabilities
"Dec. 31, 2019",55.98B
"Sept. 30, 2019",53.90B
"June 30, 2019",53.13B
"March 31, 2019",51.49B
"Dec. 31, 2018",49.74B
"Sept. 30, 2018",48.57B
"June 30, 2018",48.12B
"March 31, 2018",47.10B
"Dec. 31, 2017",46.42B
"Sept. 30, 2017",45.86B
"June 30, 2017",44.89B
"March 31, 2017",44.02B
"Dec. 31, 2016",46.05B
"Sept. 30, 2016",44.10B
"June 30, 2016",44.91B
"March 31, 2016",44.34B
"Dec. 31, 2015",43.78B
"Sept. 30, 2015",43.39B
"June 30, 2015",43.50B
"March 31, 2015",42.79B
"Dec. 31, 2014",42.72B
"Sept. 30, 2014",41.05B
"June 30, 2014",41.04B
"March 31, 2014",40.62B
"Dec. 31, 2013",40.33B
"Sept. 30, 2013",39.20B
"June 30, 2013",39.44B
"March 31, 2013",39.13B
"Dec. 31, 2012",39.13B
"Sept. 30, 2012",38.54B
"June 30, 2012",38.41B
"March 31, 2012",38.04B
"Dec. 31, 2011",37.56B
"Sept. 30, 2011",36.53B
"June 30, 2011",36.81B
"March 31, 2011",36.78B
"Dec. 31, 2010",36.83B
"Sept. 30, 2010",36.24B
"June 30, 2010",36.67B
"March 31, 2010",36.30B
"Dec. 31, 2009",35.21B
"Sept. 30, 2009",34.13B
"June 30, 2009",33.58B
"March 31, 2009",34.91B
"Dec. 31, 2008",34.44B
"Sept. 30, 2008",32.12B
"June 30, 2008",32.06B
"March 31, 2008",30.83B
"Dec. 31, 2007",30.24B
"Sept. 30, 2007",29.55B
"June 30, 2007",29.54B
"March 31, 2007",28.40B
"Dec. 31, 2006",28.58B
"Sept. 30, 2006",26.86B
"June 30, 2006",26.76B
"March 31, 2006",26.38B
"Dec. 31, 2005",27.08B
"Sept. 30, 2005",26.97B
"June 30, 2005",25.56B
"March 31, 2005",26.83B
"Dec. 31, 2004",26.12B
"Sept. 30, 2004",26.54B
"June 30, 2004",27.76B
"March 31, 2004",28.16B
"Dec. 31, 2003",28.91B
"Sept. 30, 2003",27.62B
"June 30, 2003",26.41B
"March 31, 2003",27.70B
"Dec. 31, 2002",28.07B
"Sept. 30, 2002",35.77B
"June 30, 2002",41.70B
"March 31, 2002",40.90B
"Dec. 31, 2001",37.98B
"Sept. 30, 2001",43.67B
"June 30, 2001",41.76B
"March 31, 2001",38.52B
"Dec. 31, 2000",44.96B
"Sept. 30, 2000",31.77B
"June 30, 2000",31.81B
"March 31, 2000",16.93B
"Dec. 31, 1999",26.71B
"Sept. 30, 1999",15.25B
"June 30, 1999",15.48B
"March 31, 1999",15.04B
"Dec. 31, 1998",14.47B
"Sept. 30, 1998",12.44B
"June 30, 1998",12.88B
"March 31, 1998",11.89B
"Dec. 31, 1997",11.76B
"Sept. 30, 1997",11.43B
"June 30, 1997",11.50B
"March 31, 1997",11.11B
"Dec. 31, 1996",10.74B
"Sept. 30, 1996",10.57B
"June 30, 1996",10.78B
"March 31, 1996",10.93B
"Dec. 31, 1995",10.90B
"Sept. 30, 1995",10.64B
"June 30, 1995",10.87B
"March 31, 1995",10.67B
"Dec. 31, 1994",10.69B
"Sept. 30, 1994",10.35B
"June 30, 1994",10.50B
"March 31, 1994",10.50B
