date,cash_investing_ttm
"Dec. 31, 2019",-7.144B
"Sept. 30, 2019",-7.022B
"June 30, 2019",-6.710B
"March 31, 2019",-6.009B
"Dec. 31, 2018",-6.354B
"Sept. 30, 2018",-6.622B
"June 30, 2018",-6.498B
"March 31, 2018",-6.360B
"Dec. 31, 2017",-3.656B
"Sept. 30, 2017",-3.341B
"June 30, 2017",-3.144B
"March 31, 2017",-3.132B
"Dec. 31, 2016",-5.047B
"Sept. 30, 2016",-4.207B
"June 30, 2016",-4.133B
"March 31, 2016",-4.146B
"Dec. 31, 2015",-4.024B
"Sept. 30, 2015",-4.573B
"June 30, 2015",-4.528B
"March 31, 2015",-4.442B
"Dec. 31, 2014",-4.406B
"Sept. 30, 2014",-4.377B
"June 30, 2014",-4.243B
"March 31, 2014",-4.027B
"Dec. 31, 2013",-3.818B
"Sept. 30, 2013",-3.63B
"June 30, 2013",-3.504B
"March 31, 2013",-3.371B
"Dec. 31, 2012",-3.391B
"Sept. 30, 2012",-3.204B
"June 30, 2012",-3.14B
"March 31, 2012",-3.069B
"Dec. 31, 2011",-2.89B
"Sept. 30, 2011",-2.915B
"June 30, 2011",-2.811B
"March 31, 2011",-2.706B
"Dec. 31, 2010",-2.523B
"Sept. 30, 2010",-2.394B
"June 30, 2010",-2.43B
"March 31, 2010",-2.619B
"Dec. 31, 2009",-2.916B
"Sept. 30, 2009",-3.063B
"June 30, 2009",-3.86B
"March 31, 2009",-3.86B
"Dec. 31, 2008",-4.027B
"Sept. 30, 2008",-4.047B
"June 30, 2008",-3.439B
"March 31, 2008",-4.187B
"Dec. 31, 2007",-3.921B
"Sept. 30, 2007",-4.221B
"June 30, 2007",-4.298B
"March 31, 2007",-3.621B
"Dec. 31, 2006",-3.743B
"Sept. 30, 2006",-3.402B
"June 30, 2006",-3.035B
"March 31, 2006",-2.597B
"Dec. 31, 2005",-1.005B
"Sept. 30, 2005",-356.00M
"June 30, 2005",694.00M
"March 31, 2005",699.00M
"Dec. 31, 2004",-329.00M
"Sept. 30, 2004",-472.00M
"June 30, 2004",-1.256B
"March 31, 2004",-1.164B
"Dec. 31, 2003",-1.979B
"Sept. 30, 2003",-1.899B
"June 30, 2003",-882.00M
"March 31, 2003",-1.001B
"Dec. 31, 2002",-378.00M
"Sept. 30, 2002",-2.015B
"June 30, 2002",-3.042B
"March 31, 2002",-3.604B
"Dec. 31, 2001",-3.432B
"Sept. 30, 2001",-1.957B
"June 30, 2001",-2.06B
"March 31, 2001",-1.763B
"Dec. 31, 2000",-1.754B
"Sept. 30, 2000",-1.733B
"June 30, 2000",-1.772B
"March 31, 2000",-1.653B
"Dec. 31, 1999",-1.673B
"Sept. 30, 1999",-2.828B
"June 30, 1999",-2.604B
"March 31, 1999",-2.269B
"Dec. 31, 1998",-2.213B
"Sept. 30, 1998",-824.20M
"June 30, 1998",-816.00M
"March 31, 1998",-1.158B
"Dec. 31, 1997",-1.122B
"Sept. 30, 1997",-1.074B
"June 30, 1997",-1.040B
"March 31, 1997",-602.30M
"Dec. 31, 1996",-565.40M
"Sept. 30, 1996",-516.30M
"June 30, 1996",-523.60M
"March 31, 1996",-543.80M
"Dec. 31, 1995",-585.40M
"Sept. 30, 1995",-605.60M
"June 30, 1995",-609.20M
"March 31, 1995",-648.80M
"Dec. 31, 1994",-593.70M
