date,cash_financing_ttm
"Dec. 31, 2019",2.863B
"Sept. 30, 2019",1.934B
"June 30, 2019",1.695B
"March 31, 2019",825.90M
"Dec. 31, 2018",1.162B
"Sept. 30, 2018",1.990B
"June 30, 2018",1.981B
"March 31, 2018",2.112B
"Dec. 31, 2017",-604.90M
"Sept. 30, 2017",-856.30M
"June 30, 2017",-1.522B
"March 31, 2017",-1.536B
"Dec. 31, 2016",503.90M
"Sept. 30, 2016",-83.80M
"June 30, 2016",-162.20M
"March 31, 2016",-223.60M
"Dec. 31, 2015",-789.40M
"Sept. 30, 2015",-262.10M
"June 30, 2015",-85.90M
"March 31, 2015",-397.90M
"Dec. 31, 2014",-162.50M
"Sept. 30, 2014",-356.70M
"June 30, 2014",-470.70M
"March 31, 2014",-342.70M
"Dec. 31, 2013",-448.70M
"Sept. 30, 2013",-598.00M
"June 30, 2013",-283.00M
"March 31, 2013",-420.00M
"Dec. 31, 2012",-355.00M
"Sept. 30, 2012",-261.00M
"June 30, 2012",-749.00M
"March 31, 2012",-1.104B
"Dec. 31, 2011",-971.00M
"Sept. 30, 2011",-1.927B
"June 30, 2011",-1.422B
"March 31, 2011",-977.00M
"Dec. 31, 2010",-335.00M
"Sept. 30, 2010",301.00M
"June 30, 2010",710.00M
"March 31, 2010",567.00M
"Dec. 31, 2009",520.00M
"Sept. 30, 2009",1.209B
"June 30, 2009",1.763B
"March 31, 2009",2.148B
"Dec. 31, 2008",1.679B
"Sept. 30, 2008",1.372B
"June 30, 2008",865.00M
"March 31, 2008",1.415B
"Dec. 31, 2007",1.41B
"Sept. 30, 2007",1.992B
"June 30, 2007",1.643B
"March 31, 2007",1.104B
"Dec. 31, 2006",911.00M
"Sept. 30, 2006",438.00M
"June 30, 2006",659.00M
"March 31, 2006",-181.00M
"Dec. 31, 2005",-791.00M
"Sept. 30, 2005",-1.861B
"June 30, 2005",-3.168B
"March 31, 2005",-2.832B
"Dec. 31, 2004",-2.84B
"Sept. 30, 2004",-2.846B
"June 30, 2004",-1.682B
"March 31, 2004",-1.767B
"Dec. 31, 2003",-437.00M
"Sept. 30, 2003",36.00M
"June 30, 2003",-1.299B
"March 31, 2003",-308.00M
"Dec. 31, 2002",-681.00M
"Sept. 30, 2002",-114.00M
"June 30, 2002",1.197B
"March 31, 2002",1.387B
"Dec. 31, 2001",473.00M
"Sept. 30, 2001",-88.00M
"June 30, 2001",161.00M
"March 31, 2001",-417.00M
"Dec. 31, 2000",56.00M
"Sept. 30, 2000",584.00M
"June 30, 2000",256.00M
"March 31, 2000",354.00M
"Dec. 31, 1999",335.00M
"Sept. 30, 1999",1.58B
"June 30, 1999",1.661B
"March 31, 1999",1.322B
"Dec. 31, 1998",1.265B
"Sept. 30, 1998",-196.00M
"June 30, 1998",-304.20M
"March 31, 1998",85.50M
"Dec. 31, 1997",-42.30M
"Sept. 30, 1997",-165.60M
"June 30, 1997",-224.90M
"March 31, 1997",-741.90M
"Dec. 31, 1996",-694.10M
"Sept. 30, 1996",-699.40M
"June 30, 1996",-772.50M
"March 31, 1996",-489.20M
"Dec. 31, 1995",-454.10M
"Sept. 30, 1995",-311.20M
"June 30, 1995",-176.00M
"March 31, 1995",-300.50M
"Dec. 31, 1994",-363.80M
