date,ncavps
"Dec. 31, 2019",-105.03
"Sept. 30, 2019",-100.69
"June 30, 2019",-99.37
"March 31, 2019",-96.42
"Dec. 31, 2018",-92.51
"Sept. 30, 2018",-88.98
"June 30, 2018",-88.35
"March 31, 2018",-87.23
"Dec. 31, 2017",-85.70
"Sept. 30, 2017",-84.97
"June 30, 2017",-83.52
"March 31, 2017",-82.16
"Dec. 31, 2016",-81.38
"Sept. 30, 2016",-77.59
"June 30, 2016",-82.32
"March 31, 2016",-81.83
"Dec. 31, 2015",-80.86
"Sept. 30, 2015",-79.14
"June 30, 2015",-80.06
"March 31, 2015",-78.94
"Dec. 31, 2014",-78.14
"Sept. 30, 2014",-75.51
"June 30, 2014",-75.14
"March 31, 2014",-74.34
"Dec. 31, 2013",-73.84
"Sept. 30, 2013",-71.59
"June 30, 2013",-71.54
"March 31, 2013",-71.46
"Dec. 31, 2012",-71.12
"Sept. 30, 2012",-69.84
"June 30, 2012",-69.98
"March 31, 2012",-69.87
"Dec. 31, 2011",-69.04
"Sept. 30, 2011",-66.60
"June 30, 2011",-66.48
"March 31, 2011",-66.41
"Dec. 31, 2010",-66.17
"Sept. 30, 2010",-64.19
"June 30, 2010",-64.40
"March 31, 2010",-64.29
"Dec. 31, 2009",-63.70
"Sept. 30, 2009",-62.11
"June 30, 2009",-61.56
"March 31, 2009",-75.82
"Dec. 31, 2008",-75.53
"Sept. 30, 2008",-69.95
"June 30, 2008",-69.78
"March 31, 2008",-68.41
"Dec. 31, 2007",-67.96
"Sept. 30, 2007",-66.09
"June 30, 2007",-65.82
"March 31, 2007",-63.28
"Dec. 31, 2006",-62.99
"Sept. 30, 2006",-60.04
"June 30, 2006",-59.66
"March 31, 2006",-58.72
"Dec. 31, 2005",-58.77
"Sept. 30, 2005",-56.68
"June 30, 2005",-57.30
"March 31, 2005",-58.41
"Dec. 31, 2004",-55.89
"Sept. 30, 2004",-54.48
"June 30, 2004",-57.88
"March 31, 2004",-58.98
"Dec. 31, 2003",-60.96
"Sept. 30, 2003",-53.84
"June 30, 2003",-51.85
"March 31, 2003",-51.29
"Dec. 31, 2002",-67.14
"Sept. 30, 2002",-65.44
"June 30, 2002",-78.48
"March 31, 2002",-82.50
"Dec. 31, 2001",-78.88
"Sept. 30, 2001",-79.64
"June 30, 2001",-79.47
"March 31, 2001",-75.40
"Dec. 31, 2000",-74.72
"Sept. 30, 2000",-71.93
"June 30, 2000",-70.17
"March 31, 2000",-68.80
"Dec. 31, 1999",-111.47
"Sept. 30, 1999",-64.00
"June 30, 1999",-64.65
"March 31, 1999",-64.66
"Dec. 31, 1998",-63.86
"Sept. 30, 1998",-54.98
"June 30, 1998",-53.63
"March 31, 1998",-54.13
"Dec. 31, 1997",-53.93
"Sept. 30, 1997",-53.01
"June 30, 1997",-53.13
"March 31, 1997",-51.51
"Dec. 31, 1996",-49.85
"Sept. 30, 1996",-48.84
"June 30, 1996",-49.56
"March 31, 1996",-50.20
"Dec. 31, 1995",-50.89
"Sept. 30, 1995",-49.92
"June 30, 1995",-50.69
"March 31, 1995",-50.20
"Dec. 31, 1994",-50.84
"Sept. 30, 1994",-49.51
"June 30, 1994",-49.96
"March 31, 1994",-49.99
