date,ebitda_ttm
"Dec. 31, 2019",647.00M
"Sept. 30, 2019",511.00M
"June 30, 2019",552.00M
"March 31, 2019",573.00M
"Dec. 31, 2018",415.00M
"Sept. 30, 2018",514.00M
"June 30, 2018",471.00M
"March 31, 2018",321.00M
"Dec. 31, 2017",392.00M
"Sept. 30, 2017",268.00M
"June 30, 2017",194.00M
"March 31, 2017",307.00M
"Dec. 31, 2016",369.00M
"Sept. 30, 2016",299.91M
"June 30, 2016",374.64M
"March 31, 2016",435.98M
"Dec. 31, 2015",400.00M
"Sept. 30, 2015",
"June 30, 2015",
"March 31, 2015",
"Dec. 31, 2014",
"Sept. 30, 2014",
"June 30, 2014",55.96M
"March 31, 2014",53.59M
"Dec. 31, 2013",49.51M
"Sept. 30, 2013",46.83M
"June 30, 2013",41.29M
"March 31, 2013",36.75M
"Dec. 31, 2012",30.57M
"Sept. 30, 2012",25.46M
"June 30, 2012",24.45M
"March 31, 2012",23.56M
"Dec. 31, 2011",23.14M
