date,return_on_invested_capital
"Dec. 31, 2019",10.32%
"Sept. 30, 2019",5.31%
"June 30, 2019",7.08%
"March 31, 2019",7.92%
"Dec. 31, 2018",-6.92%
"Sept. 30, 2018",3.00%
"June 30, 2018",3.47%
"March 31, 2018",-4.30%
"Dec. 31, 2017",3.44%
"Sept. 30, 2017",-15.30%
"June 30, 2017",-17.44%
"March 31, 2017",-10.80%
"Dec. 31, 2016",-11.07%
"Sept. 30, 2016",5.42%
"June 30, 2016",5.74%
"March 31, 2016",8.34%
"Dec. 31, 2015",11.92%
"Sept. 30, 2015",
"June 30, 2015",
"March 31, 2015",
"Dec. 31, 2014",
"Sept. 30, 2014",
"June 30, 2014",18.96%
"March 31, 2014",20.10%
"Dec. 31, 2013",20.14%
"Sept. 30, 2013",19.72%
"June 30, 2013",17.66%
"March 31, 2013",15.28%
"Dec. 31, 2012",14.43%
"Sept. 30, 2012",10.45%
"June 30, 2012",13.12%
