date,book_value_of_tangible_equity_per_share
"Dec. 31, 2019",-17.39
"Sept. 30, 2019",-17.66
"June 30, 2019",-17.62
"March 31, 2019",-17.47
"Dec. 31, 2018",-17.94
"Sept. 30, 2018",-15.08
"June 30, 2018",-14.69
"March 31, 2018",-13.99
"Dec. 31, 2017",0.4916
"Sept. 30, 2017",3.287
"June 30, 2017",2.845
"March 31, 2017",-14.83
"Dec. 31, 2016",-1.314
"Sept. 30, 2016",-18.04
"June 30, 2016",-16.48
"March 31, 2016",-13.61
"Dec. 31, 2015",10.21
"Sept. 30, 2015",-5.443
"June 30, 2015",-2.687
"March 31, 2015",3.058
"Dec. 31, 2014",31.42
"Sept. 30, 2014",1.400
"June 30, 2014",1.462
"March 31, 2014",1.462
"Dec. 31, 2013",1.553
"Sept. 30, 2013",1.609
"June 30, 2013",1.963
"March 31, 2013",1.919
"Dec. 31, 2012",1.932
"Sept. 30, 2012",1.485
