date,enterprise_value
"June 11, 2019",5.569B
"June 10, 2019",5.581B
"June 7, 2019",5.566B
"June 6, 2019",5.568B
"June 5, 2019",5.543B
"June 4, 2019",5.570B
"June 3, 2019",5.520B
"May 31, 2019",5.491B
"May 30, 2019",5.494B
"May 29, 2019",5.476B
"May 28, 2019",5.490B
"May 24, 2019",5.502B
"May 23, 2019",5.510B
"May 22, 2019",5.545B
"May 21, 2019",5.551B
"May 20, 2019",5.523B
"May 17, 2019",5.531B
"May 16, 2019",5.523B
"May 15, 2019",5.520B
"May 14, 2019",5.555B
"May 13, 2019",5.533B
"May 10, 2019",5.544B
"May 9, 2019",5.505B
"May 8, 2019",5.464B
"May 7, 2019",5.477B
"May 6, 2019",5.518B
"May 3, 2019",5.613B
"May 2, 2019",5.591B
"May 1, 2019",5.582B
"April 30, 2019",5.571B
"April 29, 2019",5.552B
"April 26, 2019",5.561B
"April 25, 2019",5.527B
"April 24, 2019",5.543B
"April 23, 2019",5.551B
"April 22, 2019",5.564B
"April 18, 2019",5.518B
"April 17, 2019",5.520B
"April 16, 2019",5.524B
"April 15, 2019",5.563B
"April 12, 2019",5.569B
"April 11, 2019",5.559B
"April 10, 2019",5.536B
"April 9, 2019",5.548B
"April 8, 2019",5.576B
"April 5, 2019",5.589B
"April 4, 2019",5.593B
"April 3, 2019",5.610B
"April 2, 2019",5.631B
"April 1, 2019",5.615B
"March 31, 2019",5.590B
"March 29, 2019",5.507B
"March 28, 2019",5.502B
"March 27, 2019",5.480B
"March 26, 2019",5.481B
"March 25, 2019",5.467B
"March 22, 2019",5.476B
"March 21, 2019",5.489B
"March 20, 2019",5.469B
"March 19, 2019",5.459B
"March 18, 2019",5.452B
"March 15, 2019",5.429B
"March 14, 2019",5.412B
"March 13, 2019",5.407B
"March 12, 2019",5.402B
"March 11, 2019",5.411B
"March 8, 2019",5.382B
"March 7, 2019",5.374B
"March 6, 2019",5.393B
"March 5, 2019",5.398B
"March 4, 2019",5.409B
"March 1, 2019",5.419B
"Feb. 28, 2019",5.409B
"Feb. 27, 2019",5.419B
"Feb. 26, 2019",5.426B
"Feb. 25, 2019",5.437B
"Feb. 22, 2019",5.399B
"Feb. 21, 2019",5.369B
"Feb. 20, 2019",5.398B
"Feb. 19, 2019",5.433B
"Feb. 15, 2019",5.439B
"Feb. 14, 2019",5.421B
"Feb. 13, 2019",5.426B
"Feb. 12, 2019",5.416B
"Feb. 11, 2019",5.363B
"Feb. 8, 2019",5.331B
"Feb. 7, 2019",5.330B
"Feb. 6, 2019",5.357B
"Feb. 5, 2019",5.426B
"Feb. 4, 2019",5.500B
"Feb. 1, 2019",5.487B
"Jan. 31, 2019",5.461B
"Jan. 30, 2019",5.463B
"Jan. 29, 2019",5.424B
"Jan. 28, 2019",5.422B
"Jan. 25, 2019",5.449B
"Jan. 24, 2019",5.406B
"Jan. 23, 2019",5.373B
"Jan. 22, 2019",5.344B
"Jan. 18, 2019",5.337B
"Jan. 17, 2019",5.331B
"Jan. 16, 2019",5.325B
"Jan. 15, 2019",5.324B
"Jan. 14, 2019",5.311B
"Jan. 11, 2019",5.263B
"Jan. 10, 2019",5.288B
"Jan. 9, 2019",5.291B
"Jan. 8, 2019",5.269B
"Jan. 7, 2019",5.248B
"Jan. 4, 2019",5.207B
"Jan. 3, 2019",5.179B
"Jan. 2, 2019",5.171B
"Dec. 31, 2018",5.177B
"Dec. 28, 2018",4.936B
"Dec. 27, 2018",4.902B
"Dec. 26, 2018",4.870B
"Dec. 24, 2018",4.754B
"Dec. 21, 2018",4.847B
"Dec. 20, 2018",4.923B
"Dec. 19, 2018",4.984B
"Dec. 18, 2018",4.977B
"Dec. 17, 2018",4.991B
"Dec. 14, 2018",5.050B
"Dec. 13, 2018",5.068B
"Dec. 12, 2018",5.043B
"Dec. 11, 2018",5.024B
"Dec. 10, 2018",5.007B
"Dec. 7, 2018",5.008B
"Dec. 6, 2018",5.033B
"Dec. 4, 2018",5.017B
"Dec. 3, 2018",5.066B
"Nov. 30, 2018",5.071B
"Nov. 29, 2018",5.093B
"Nov. 28, 2018",5.088B
"Nov. 27, 2018",5.061B
"Nov. 26, 2018",5.092B
"Nov. 23, 2018",5.065B
"Nov. 21, 2018",5.068B
"Nov. 20, 2018",4.981B
"Nov. 19, 2018",4.968B
"Nov. 16, 2018",5.033B
"Nov. 15, 2018",5.081B
"Nov. 14, 2018",5.081B
"Nov. 13, 2018",5.101B
"Nov. 12, 2018",5.145B
"Nov. 9, 2018",5.112B
"Nov. 8, 2018",5.111B
"Nov. 7, 2018",4.973B
"Nov. 6, 2018",4.943B
"Nov. 5, 2018",4.960B
"Nov. 2, 2018",5.037B
"Nov. 1, 2018",5.074B
"Oct. 31, 2018",5.020B
"Oct. 30, 2018",4.979B
"Oct. 29, 2018",4.985B
"Oct. 26, 2018",4.983B
"Oct. 25, 2018",5.035B
"Oct. 24, 2018",5.055B
"Oct. 23, 2018",5.147B
"Oct. 22, 2018",5.173B
"Oct. 19, 2018",5.168B
"Oct. 18, 2018",5.187B
"Oct. 17, 2018",5.187B
"Oct. 16, 2018",5.206B
"Oct. 15, 2018",5.161B
"Oct. 12, 2018",5.166B
"Oct. 11, 2018",5.205B
"Oct. 10, 2018",5.241B
"Oct. 9, 2018",5.274B
"Oct. 8, 2018",5.276B
"Oct. 5, 2018",5.225B
"Oct. 4, 2018",5.212B
"Oct. 3, 2018",5.240B
"Oct. 2, 2018",5.219B
"Oct. 1, 2018",5.220B
"Sept. 30, 2018",5.202B
"Sept. 28, 2018",5.026B
"Sept. 27, 2018",5.001B
"Sept. 26, 2018",4.968B
"Sept. 25, 2018",4.945B
"Sept. 24, 2018",4.922B
"Sept. 21, 2018",4.917B
"Sept. 20, 2018",4.914B
"Sept. 19, 2018",4.903B
"Sept. 18, 2018",4.902B
"Sept. 17, 2018",4.877B
"Sept. 14, 2018",4.887B
"Sept. 13, 2018",4.879B
"Sept. 12, 2018",4.890B
"Sept. 11, 2018",4.876B
"Sept. 10, 2018",4.863B
"Sept. 7, 2018",4.810B
"Sept. 6, 2018",4.817B
"Sept. 5, 2018",4.847B
"Sept. 4, 2018",4.843B
"Aug. 31, 2018",4.823B
"Aug. 30, 2018",4.840B
"Aug. 29, 2018",4.854B
"Aug. 28, 2018",4.859B
"Aug. 27, 2018",4.864B
"Aug. 24, 2018",4.858B
"Aug. 23, 2018",4.850B
"Aug. 22, 2018",4.884B
"Aug. 21, 2018",4.882B
