date,operating_margin_ttm
"Dec. 31, 2019",3.21%
"Sept. 30, 2019",2.42%
"June 30, 2019",2.58%
"March 31, 2019",2.75%
"Dec. 31, 2018",2.14%
"Sept. 30, 2018",2.84%
"June 30, 2018",3.07%
"March 31, 2018",3.03%
"Dec. 31, 2017",2.93%
"Sept. 30, 2017",3.05%
"June 30, 2017",2.60%
"March 31, 2017",3.06%
"Dec. 31, 2016",3.26%
"Sept. 30, 2016",3.98%
"June 30, 2016",3.15%
"March 31, 2016",2.49%
"Dec. 31, 2015",2.04%
"Sept. 30, 2015",
"June 30, 2015",
"March 31, 2015",
"Dec. 31, 2014",
"Sept. 30, 2014",
"June 30, 2014",0.92%
"March 31, 2014",0.95%
"Dec. 31, 2013",0.92%
"Sept. 30, 2013",0.90%
"June 30, 2013",0.79%
"March 31, 2013",0.69%
"Dec. 31, 2012",0.55%
"Sept. 30, 2012",0.41%
"June 30, 2012",0.41%
"March 31, 2012",0.45%
"Dec. 31, 2011",0.48%
