date,cash_on_hand
"Dec. 31, 2019",21.00M
"Sept. 30, 2019",13.00M
"June 30, 2019",36.00M
"March 31, 2019",23.00M
"Dec. 31, 2018",56.00M
"Sept. 30, 2018",15.00M
"June 30, 2018",19.00M
"March 31, 2018",98.00M
"Dec. 31, 2017",28.00M
"Sept. 30, 2017",86.00M
"June 30, 2017",97.00M
"March 31, 2017",74.00M
"Dec. 31, 2016",103.00M
"Sept. 30, 2016",80.56M
"June 30, 2016",83.18M
"March 31, 2016",76.53M
"Dec. 31, 2015",73.00M
"Sept. 30, 2015",47.77M
"June 30, 2015",62.77M
"March 31, 2015",50.97M
"Dec. 31, 2014",125.43M
"Sept. 30, 2014",10.60M
"June 30, 2014",6.769M
"March 31, 2014",5.957M
"Dec. 31, 2013",8.15M
"Sept. 30, 2013",17.92M
"June 30, 2013",16.49M
"March 31, 2013",9.325M
"Dec. 31, 2012",6.752M
"Sept. 30, 2012",195.49M
"June 30, 2012",1.145M
"March 31, 2012",0.002M
"Dec. 31, 2011",0.24M
