date,dividend_yield
"March 19, 2020",22.01%
"March 18, 2020",27.68%
"March 17, 2020",21.54%
"March 16, 2020",21.25%
"March 13, 2020",17.38%
"March 12, 2020",19.11%
"March 11, 2020",14.64%
"March 10, 2020",13.28%
"March 9, 2020",15.01%
"March 6, 2020",12.57%
"March 5, 2020",11.81%
"March 4, 2020",11.53%
"March 3, 2020",11.77%
"March 2, 2020",11.62%
"Feb. 28, 2020",12.22%
"Feb. 27, 2020",12.08%
"Feb. 26, 2020",11.20%
"Feb. 25, 2020",11.25%
"Feb. 24, 2020",10.75%
"Feb. 21, 2020",10.64%
"Feb. 20, 2020",10.75%
"Feb. 19, 2020",10.90%
"Feb. 18, 2020",10.78%
"Feb. 14, 2020",10.67%
"Feb. 13, 2020",10.68%
"Feb. 12, 2020",10.62%
"Feb. 11, 2020",10.75%
"Feb. 10, 2020",10.93%
"Feb. 7, 2020",10.61%
"Feb. 6, 2020",10.53%
"Feb. 5, 2020",10.37%
"Feb. 4, 2020",10.39%
"Feb. 3, 2020",10.44%
"Jan. 31, 2020",10.61%
"Jan. 30, 2020",10.51%
"Jan. 29, 2020",10.43%
"Jan. 28, 2020",10.62%
"Jan. 27, 2020",10.46%
"Jan. 24, 2020",10.47%
"Jan. 23, 2020",10.28%
"Jan. 22, 2020",10.33%
"Jan. 21, 2020",10.21%
"Jan. 17, 2020",10.14%
"Jan. 16, 2020",10.28%
"Jan. 15, 2020",10.25%
"Jan. 14, 2020",10.28%
"Jan. 13, 2020",10.47%
"Jan. 10, 2020",10.55%
"Jan. 9, 2020",10.54%
"Jan. 8, 2020",10.48%
"Jan. 7, 2020",10.51%
"Jan. 6, 2020",10.52%
"Jan. 3, 2020",10.66%
"Jan. 2, 2020",10.71%
"Dec. 31, 2019",10.79%
"Dec. 30, 2019",10.85%
"Dec. 27, 2019",10.74%
"Dec. 26, 2019",10.68%
"Dec. 24, 2019",10.62%
"Dec. 23, 2019",10.69%
"Dec. 20, 2019",10.84%
"Dec. 19, 2019",10.65%
"Dec. 18, 2019",10.60%
"Dec. 17, 2019",10.61%
"Dec. 16, 2019",10.72%
"Dec. 13, 2019",10.76%
"Dec. 12, 2019",10.93%
"Dec. 11, 2019",11.00%
"Dec. 10, 2019",10.88%
"Dec. 9, 2019",10.83%
