date,shares_outstanding
"Feb. 14, 2020",83.02M
"Dec. 31, 2019",82.99M
"Nov. 1, 2019",82.75M
"Sept. 30, 2019",82.75M
"Aug. 2, 2019",82.75M
"June 30, 2019",82.75M
"May 3, 2019",82.75M
"March 31, 2019",82.73M
"March 11, 2019",82.73M
"Feb. 15, 2019",82.73M
"Dec. 31, 2018",82.67M
"Nov. 2, 2018",82.51M
"Sept. 30, 2018",82.51M
"Aug. 3, 2018",82.50M
"June 30, 2018",82.50M
"May 4, 2018",82.49M
"March 31, 2018",82.49M
"Feb. 16, 2018",82.49M
"Feb. 7, 2018",82.38M
"Jan. 23, 2018",99.67M
"Jan. 9, 2018",99.67M
"Dec. 31, 2017",99.67M
"Nov. 3, 2017",99.48M
"Sept. 30, 2017",99.48M
"Aug. 4, 2017",99.47M
"June 30, 2017",99.47M
"April 28, 2017",99.47M
"March 31, 2017",99.46M
"March 30, 2017",115.86M
"Feb. 17, 2017",98.54M
"Dec. 31, 2016",98.18M
"Nov. 7, 2016",95.57M
"Sept. 30, 2016",95.34M
"Aug. 1, 2016",95.34M
"June 30, 2016",95.34M
"May 2, 2016",95.34M
"March 31, 2016",95.34M
"Feb. 22, 2016",87.37M
"Dec. 31, 2015",87.37M
"Nov. 2, 2015",63.31M
"Sept. 30, 2015",63.31M
"Aug. 3, 2015",63.31M
"June 30, 2015",35.83M
"May 4, 2015",35.83M
"March 31, 2015",35.04M
"Feb. 20, 2015",35.04M
"Dec. 31, 2014",35.04M
"Oct. 31, 2014",33.98M
"Sept. 30, 2014",21.99M
"Aug. 1, 2014",21.96M
"June 30, 2014",21.96M
"May 2, 2014",21.96M
"March 31, 2014",21.96M
"March 7, 2014",21.96M
"Dec. 31, 2013",21.96M
"Nov. 1, 2013",21.95M
"Sept. 30, 2013",21.95M
"Aug. 9, 2013",21.88M
"June 30, 2013",21.88M
"May 10, 2013",21.88M
"March 31, 2013",21.88M
"March 22, 2013",21.88M
"Dec. 31, 2012",21.88M
"Nov. 9, 2012",21.88M
"Sept. 30, 2012",21.86M
"Sept. 20, 2012",21.88M
