date,book_value_of_equity_per_share
"Dec. 31, 2019",9.134
"Sept. 30, 2019",9.208
"June 30, 2019",9.414
"March 31, 2019",9.779
"Dec. 31, 2018",9.484
"Sept. 30, 2018",11.45
"June 30, 2018",11.10
"March 31, 2018",11.30
"Dec. 31, 2017",22.54
"Sept. 30, 2017",21.46
"June 30, 2017",21.12
"March 31, 2017",24.42
"Dec. 31, 2016",22.37
"Sept. 30, 2016",29.44
"June 30, 2016",30.00
"March 31, 2016",32.34
"Dec. 31, 2015",60.24
"Sept. 30, 2015",38.46
"June 30, 2015",32.65
"March 31, 2015",32.56
"Dec. 31, 2014",109.84
"Sept. 30, 2014",40.41
"June 30, 2014",3.608
"March 31, 2014",3.638
"Dec. 31, 2013",3.630
"Sept. 30, 2013",3.649
"June 30, 2013",3.560
"March 31, 2013",3.537
"Dec. 31, 2012",3.580
"Sept. 30, 2012",3.140
