date,payout_ratio
"Dec. 31, 2019",112.8%
"Sept. 30, 2019",221.5%
"June 30, 2019",171.6%
"March 31, 2019",160.8%
"Dec. 31, 2018",-185.0%
"Sept. 30, 2018",426.8%
"June 30, 2018",349.6%
"March 31, 2018",-268.3%
"Dec. 31, 2017",289.3%
"Sept. 30, 2017",-61.68%
"June 30, 2017",-54.01%
"March 31, 2017",-86.30%
"Dec. 31, 2016",-102.1%
"Sept. 30, 2016",208.9%
"June 30, 2016",206.9%
"March 31, 2016",138.2%
"Dec. 31, 2015",165.8%
"Sept. 30, 2015",
"June 30, 2015",
"March 31, 2015",
"Dec. 31, 2014",
"Sept. 30, 2014",
"June 30, 2014",108.6%
"March 31, 2014",104.5%
"Dec. 31, 2013",107.0%
"Sept. 30, 2013",82.24%
"June 30, 2013",750.2%
"March 31, 2013",896.3%
"Dec. 31, 2012",1.18K%
"Sept. 30, 2012",1.86K%
"June 30, 2012",0.00%
"March 31, 2012",0.00%
"Dec. 31, 2011",0.00%
