date,liabilities
"Dec. 31, 2019",4.68B
"Sept. 30, 2019",4.735B
"June 30, 2019",4.691B
"March 31, 2019",4.614B
"Dec. 31, 2018",4.095B
"Sept. 30, 2018",4.203B
"June 30, 2018",4.09B
"March 31, 2018",3.987B
"Dec. 31, 2017",6.097B
"Sept. 30, 2017",6.172B
"June 30, 2017",6.21B
"March 31, 2017",6.025B
"Dec. 31, 2016",6.505B
"Sept. 30, 2016",6.190B
"June 30, 2016",5.902B
"March 31, 2016",5.719B
"Dec. 31, 2015",3.579B
"Sept. 30, 2015",3.700B
"June 30, 2015",2.352B
"March 31, 2015",1.074B
"Dec. 31, 2014",2.306B
"Sept. 30, 2014",411.09M
"June 30, 2014",380.12M
"March 31, 2014",374.28M
"Dec. 31, 2013",310.39M
"Sept. 30, 2013",305.28M
"June 30, 2013",308.36M
"March 31, 2013",307.53M
"Dec. 31, 2012",277.47M
"Sept. 30, 2012",238.54M
"June 30, 2012",121.57M
"March 31, 2012",138.68M
"Dec. 31, 2011",115.50M
