date,f_score_ttm
"Dec. 31, 2019",6.00
"Sept. 30, 2019",2.00
"June 30, 2019",2.00
"March 31, 2019",8.00
"Dec. 31, 2018",4.00
"Sept. 30, 2018",4.00
"June 30, 2018",6.00
"March 31, 2018",4.00
"Dec. 31, 2017",3.00
"Sept. 30, 2017",7.00
"June 30, 2017",5.00
"March 31, 2017",3.00
"Dec. 31, 2016",5.00
"Sept. 30, 2016",3.00
"June 30, 2016",1.00
"March 31, 2016",5.00
"Dec. 31, 2015",
"Sept. 30, 2015",
"June 30, 2015",
"March 31, 2015",
"Dec. 31, 2014",
"Sept. 30, 2014",
"June 30, 2014",3.00
"March 31, 2014",3.00
"Dec. 31, 2013",6.00
"Sept. 30, 2013",5.00
"June 30, 2013",5.00
"March 31, 2013",4.00
"Dec. 31, 2012",3.00
"Sept. 30, 2012",4.00
