date,cash_operations_ttm
"Dec. 31, 2019",435.00M
"Sept. 30, 2019",462.00M
"June 30, 2019",370.00M
"March 31, 2019",45.00M
"Dec. 31, 2018",-37.00M
"Sept. 30, 2018",-254.00M
"June 30, 2018",45.00M
"March 31, 2018",266.00M
"Dec. 31, 2017",439.00M
"Sept. 30, 2017",707.00M
"June 30, 2017",531.00M
"March 31, 2017",525.00M
"Dec. 31, 2016",559.00M
"Sept. 30, 2016",429.41M
"June 30, 2016",517.11M
"March 31, 2016",575.60M
"Dec. 31, 2015",439.00M
"Sept. 30, 2015",
"June 30, 2015",
"March 31, 2015",
"Dec. 31, 2014",
"Sept. 30, 2014",
"June 30, 2014",24.99M
"March 31, 2014",-0.631M
"Dec. 31, 2013",50.68M
"Sept. 30, 2013",39.41M
"June 30, 2013",46.54M
"March 31, 2013",32.63M
"Dec. 31, 2012",16.49M
"Sept. 30, 2012",38.81M
"June 30, 2012",22.22M
"March 31, 2012",18.30M
"Dec. 31, 2011",14.66M
