date,historical_monthly_var_5_all
"Feb. 29, 2020",12.15%
"Jan. 31, 2020",12.34%
"Dec. 31, 2019",12.39%
"Nov. 30, 2019",12.44%
"Oct. 31, 2019",12.56%
"Sept. 30, 2019",12.61%
"Aug. 31, 2019",12.67%
"July 31, 2019",12.72%
"June 30, 2019",12.80%
"May 31, 2019",12.90%
"April 30, 2019",12.94%
"March 31, 2019",13.01%
"Feb. 28, 2019",13.07%
"Jan. 31, 2019",13.10%
"Dec. 31, 2018",13.17%
"Nov. 30, 2018",13.11%
"Oct. 31, 2018",13.18%
"Sept. 30, 2018",13.23%
"Aug. 31, 2018",13.24%
"July 31, 2018",13.30%
"June 30, 2018",13.41%
"May 31, 2018",13.46%
"April 30, 2018",13.55%
"March 31, 2018",13.60%
"Feb. 28, 2018",13.61%
"Jan. 31, 2018",13.69%
"Dec. 31, 2017",13.71%
"Nov. 30, 2017",13.79%
"Oct. 31, 2017",13.83%
"Sept. 30, 2017",13.90%
"Aug. 31, 2017",13.94%
"July 31, 2017",14.03%
"June 30, 2017",14.21%
"May 31, 2017",14.31%
"April 30, 2017",14.42%
"March 31, 2017",14.64%
"Feb. 28, 2017",13.88%
"Jan. 31, 2017",13.97%
"Dec. 31, 2016",14.28%
"Nov. 30, 2016",14.35%
"Oct. 31, 2016",13.39%
"Sept. 30, 2016",13.51%
"Aug. 31, 2016",13.63%
"July 31, 2016",13.77%
"June 30, 2016",13.65%
"May 31, 2016",13.66%
"April 30, 2016",13.80%
"March 31, 2016",13.88%
"Feb. 29, 2016",14.28%
"Jan. 31, 2016",13.03%
"Dec. 31, 2015",12.05%
"Nov. 30, 2015",12.17%
"Oct. 31, 2015",12.47%
"Sept. 30, 2015",12.74%
"Aug. 31, 2015",11.77%
"July 31, 2015",10.58%
"June 30, 2015",8.69%
"May 31, 2015",8.11%
"April 30, 2015",7.91%
"March 31, 2015",8.14%
"Feb. 28, 2015",8.21%
"Jan. 31, 2015",8.28%
"Dec. 31, 2014",8.54%
"Nov. 30, 2014",8.68%
"Oct. 31, 2014",7.99%
"Sept. 30, 2014",6.19%
"Aug. 31, 2014",4.85%
"July 31, 2014",5.01%
"June 30, 2014",5.32%
"May 31, 2014",5.40%
"April 30, 2014",5.59%
"March 31, 2014",5.67%
"Feb. 28, 2014",5.60%
"Jan. 31, 2014",5.69%
"Dec. 31, 2013",6.14%
"Nov. 30, 2013",6.35%
"Oct. 31, 2013",6.79%
"Sept. 30, 2013",7.49%
"Aug. 31, 2013",7.74%
"July 31, 2013",7.88%
"June 30, 2013",7.90%
"May 31, 2013",4.76%
"April 30, 2013",3.76%
"March 31, 2013",3.22%
"Feb. 28, 2013",3.78%
"Jan. 31, 2013",3.07%
"Dec. 31, 2012",3.39%
"Nov. 30, 2012",3.38%
"Oct. 31, 2012",-1.67%
