date,three_year_return
"March 19, 2020",-39.17%
"March 18, 2020",-51.62%
"March 17, 2020",-37.83%
"March 16, 2020",-36.78%
"March 13, 2020",-21.19%
"March 12, 2020",-27.73%
"March 11, 2020",-5.69%
"March 10, 2020",3.97%
"March 9, 2020",-5.78%
"March 6, 2020",4.79%
"March 5, 2020",10.68%
"March 4, 2020",13.38%
"March 3, 2020",11.00%
"March 2, 2020",11.98%
"Feb. 28, 2020",5.54%
"Feb. 27, 2020",3.05%
"Feb. 26, 2020",7.16%
"Feb. 25, 2020",6.69%
"Feb. 24, 2020",11.63%
"Feb. 21, 2020",9.41%
"Feb. 20, 2020",9.52%
"Feb. 19, 2020",7.99%
"Feb. 18, 2020",9.20%
"Feb. 14, 2020",8.30%
"Feb. 13, 2020",10.19%
"Feb. 12, 2020",8.22%
"Feb. 11, 2020",7.00%
"Feb. 10, 2020",5.15%
"Feb. 7, 2020",4.68%
"Feb. 6, 2020",4.71%
"Feb. 5, 2020",7.71%
"Feb. 4, 2020",7.51%
"Feb. 3, 2020",6.97%
"Jan. 31, 2020",9.93%
"Jan. 30, 2020",10.28%
"Jan. 29, 2020",11.20%
"Jan. 28, 2020",9.16%
"Jan. 27, 2020",10.85%
"Jan. 24, 2020",14.77%
"Jan. 23, 2020",19.37%
"Jan. 22, 2020",19.70%
"Jan. 21, 2020",21.16%
"Jan. 17, 2020",21.75%
"Jan. 16, 2020",20.56%
"Jan. 15, 2020",20.83%
"Jan. 14, 2020",20.49%
"Jan. 13, 2020",18.31%
"Jan. 10, 2020",17.01%
"Jan. 9, 2020",14.50%
"Jan. 8, 2020",17.44%
"Jan. 7, 2020",17.14%
"Jan. 6, 2020",16.96%
"Jan. 3, 2020",14.74%
"Jan. 2, 2020",14.62%
"Dec. 31, 2019",13.80%
"Dec. 30, 2019",13.20%
"Dec. 27, 2019",12.93%
"Dec. 26, 2019",14.57%
"Dec. 24, 2019",15.27%
"Dec. 23, 2019",14.46%
"Dec. 20, 2019",37.62%
"Dec. 19, 2019",28.83%
"Dec. 18, 2019",27.35%
"Dec. 17, 2019",27.19%
"Dec. 16, 2019",25.96%
"Dec. 13, 2019",23.71%
"Dec. 12, 2019",22.16%
"Dec. 11, 2019",22.29%
"Dec. 10, 2019",23.63%
"Dec. 9, 2019",24.29%
"Dec. 6, 2019",23.73%
"Dec. 5, 2019",20.65%
"Dec. 4, 2019",23.66%
"Dec. 3, 2019",25.34%
"Dec. 2, 2019",25.09%
"Nov. 29, 2019",45.42%
"Nov. 27, 2019",40.83%
"Nov. 26, 2019",42.89%
"Nov. 25, 2019",43.67%
"Nov. 22, 2019",47.01%
