date,sustainable_growth_rate
"Dec. 31, 2019",-5.14%
"Sept. 30, 2019",-23.54%
"June 30, 2019",-17.25%
"March 31, 2019",-15.05%
"Dec. 31, 2018",-50.65%
"Sept. 30, 2018",-22.09%
"June 30, 2018",-18.43%
"March 31, 2018",-31.24%
"Dec. 31, 2017",-12.69%
"Sept. 30, 2017",-46.28%
"June 30, 2017",-47.28%
"March 31, 2017",-32.52%
"Dec. 31, 2016",-26.62%
"Sept. 30, 2016",-6.20%
"June 30, 2016",-6.03%
"March 31, 2016",-2.74%
"Dec. 31, 2015",-4.64%
"Sept. 30, 2015",
"June 30, 2015",
"March 31, 2015",
"Dec. 31, 2014",
"Sept. 30, 2014",
"June 30, 2014",-4.22%
"March 31, 2014",-2.21%
"Dec. 31, 2013",-3.27%
"Sept. 30, 2013",8.38%
"June 30, 2013",-231.1%
"March 31, 2013",-207.4%
"Dec. 31, 2012",-188.5%
"Sept. 30, 2012",-184.3%
"June 30, 2012",8.96%
