date,times_interest_earned
"Dec. 31, 2019",2.682
"Sept. 30, 2019",1.917
"June 30, 2019",2.314
"March 31, 2019",2.599
"Dec. 31, 2018",1.618
"Sept. 30, 2018",2.232
"June 30, 2018",1.808
"March 31, 2018",0.8486
"Dec. 31, 2017",1.067
"Sept. 30, 2017",0.2488
"June 30, 2017",-0.0861
"March 31, 2017",0.5176
"Dec. 31, 2016",0.8343
"Sept. 30, 2016",1.682
"June 30, 2016",2.327
"March 31, 2016",3.157
"Dec. 31, 2015",3.731
"Sept. 30, 2015",
"June 30, 2015",
"March 31, 2015",
"Dec. 31, 2014",
"Sept. 30, 2014",
"June 30, 2014",8.356
"March 31, 2014",10.12
"Dec. 31, 2013",11.76
"Sept. 30, 2013",13.69
"June 30, 2013",16.54
"March 31, 2013",21.21
"Dec. 31, 2012",29.14
"Sept. 30, 2012",47.39
"June 30, 2012",49.61
"March 31, 2012",50.21
"Dec. 31, 2011",52.62
