date,return_on_equity
"Dec. 31, 2019",40.21%
"Sept. 30, 2019",19.37%
"June 30, 2019",24.10%
"March 31, 2019",24.74%
"Dec. 31, 2018",-17.77%
"Sept. 30, 2018",6.76%
"June 30, 2018",7.38%
"March 31, 2018",-8.48%
"Dec. 31, 2017",6.71%
"Sept. 30, 2017",-28.62%
"June 30, 2017",-30.70%
"March 31, 2017",-17.46%
"Dec. 31, 2016",-13.17%
"Sept. 30, 2016",5.69%
"June 30, 2016",5.65%
"March 31, 2016",7.18%
"Dec. 31, 2015",7.05%
"Sept. 30, 2015",
"June 30, 2015",
"March 31, 2015",
"Dec. 31, 2014",
"Sept. 30, 2014",
"June 30, 2014",48.87%
"March 31, 2014",49.29%
"Dec. 31, 2013",47.06%
"Sept. 30, 2013",47.18%
"June 30, 2013",35.54%
"March 31, 2013",26.05%
"Dec. 31, 2012",17.52%
"Sept. 30, 2012",10.46%
"June 30, 2012",8.96%
