date,historical_daily_var_5_all
"Feb. 29, 2020",2.56%
"Jan. 31, 2020",2.53%
"Dec. 31, 2019",2.54%
"Nov. 30, 2019",2.56%
"Oct. 31, 2019",2.56%
"Sept. 30, 2019",2.56%
"Aug. 31, 2019",2.57%
"July 31, 2019",2.57%
"June 30, 2019",2.57%
"May 31, 2019",2.59%
"April 30, 2019",2.60%
"March 31, 2019",2.65%
"Feb. 28, 2019",2.66%
"Jan. 31, 2019",2.66%
"Dec. 31, 2018",2.67%
"Nov. 30, 2018",2.65%
"Oct. 31, 2018",2.65%
"Sept. 30, 2018",2.65%
"Aug. 31, 2018",2.66%
"July 31, 2018",2.68%
"June 30, 2018",2.70%
"May 31, 2018",2.71%
"April 30, 2018",2.77%
"March 31, 2018",2.79%
"Feb. 28, 2018",2.79%
"Jan. 31, 2018",2.79%
"Dec. 31, 2017",2.85%
"Nov. 30, 2017",2.90%
"Oct. 31, 2017",2.91%
"Sept. 30, 2017",2.94%
"Aug. 31, 2017",2.95%
"July 31, 2017",2.96%
"June 30, 2017",3.00%
"May 31, 2017",3.03%
"April 30, 2017",3.06%
"March 31, 2017",3.06%
"Feb. 28, 2017",3.07%
"Jan. 31, 2017",3.06%
"Dec. 31, 2016",3.07%
"Nov. 30, 2016",3.07%
"Oct. 31, 2016",3.04%
"Sept. 30, 2016",3.06%
"Aug. 31, 2016",3.06%
"July 31, 2016",3.06%
"June 30, 2016",3.06%
"May 31, 2016",3.06%
"April 30, 2016",3.06%
"March 31, 2016",3.07%
"Feb. 29, 2016",3.07%
"Jan. 31, 2016",3.02%
"Dec. 31, 2015",2.80%
"Nov. 30, 2015",2.72%
"Oct. 31, 2015",2.73%
"Sept. 30, 2015",2.68%
"Aug. 31, 2015",2.52%
"July 31, 2015",2.40%
"June 30, 2015",2.35%
"May 31, 2015",2.34%
"April 30, 2015",2.32%
"March 31, 2015",2.34%
"Feb. 28, 2015",2.36%
"Jan. 31, 2015",2.40%
"Dec. 31, 2014",2.46%
"Nov. 30, 2014",2.35%
"Oct. 31, 2014",2.37%
"Sept. 30, 2014",2.24%
"Aug. 31, 2014",2.18%
"July 31, 2014",2.18%
"June 30, 2014",2.20%
"May 31, 2014",2.20%
"April 30, 2014",2.27%
"March 31, 2014",2.21%
"Feb. 28, 2014",2.19%
"Jan. 31, 2014",2.19%
"Dec. 31, 2013",2.22%
"Nov. 30, 2013",2.20%
"Oct. 31, 2013",2.24%
"Sept. 30, 2013",2.25%
"Aug. 31, 2013",2.23%
"July 31, 2013",2.24%
"June 30, 2013",2.32%
"May 31, 2013",2.12%
"April 30, 2013",2.12%
"March 31, 2013",2.11%
"Feb. 28, 2013",2.19%
"Jan. 31, 2013",1.98%
"Dec. 31, 2012",2.12%
"Nov. 30, 2012",2.29%
"Oct. 31, 2012",1.85%
"Sept. 30, 2012",0.53%
