date,days_payables_outstanding
"Dec. 31, 2019",10.79
"Sept. 30, 2019",11.10
"June 30, 2019",10.93
"March 31, 2019",12.21
"Dec. 31, 2018",12.21
"Sept. 30, 2018",10.17
"June 30, 2018",9.032
"March 31, 2018",12.85
"Dec. 31, 2017",18.95
"Sept. 30, 2017",17.31
"June 30, 2017",16.56
"March 31, 2017",18.21
"Dec. 31, 2016",13.87
"Sept. 30, 2016",20.54
"June 30, 2016",18.70
"March 31, 2016",14.63
"Dec. 31, 2015",-30.69
"Sept. 30, 2015",8.574
"June 30, 2015",4.562
"March 31, 2015",6.368
"Dec. 31, 2014",
"Sept. 30, 2014",
"June 30, 2014",8.455
"March 31, 2014",8.736
"Dec. 31, 2013",8.995
"Sept. 30, 2013",8.954
"June 30, 2013",9.896
"March 31, 2013",8.678
"Dec. 31, 2012",6.181
"Sept. 30, 2012",6.703
"June 30, 2012",10.04
"March 31, 2012",9.653
