date,springate_score
"Dec. 31, 2019",2.061
"Sept. 30, 2019",1.829
"June 30, 2019",1.919
"March 31, 2019",1.965
"Dec. 31, 2018",1.555
"Sept. 30, 2018",1.489
"June 30, 2018",1.224
"March 31, 2018",0.8844
"Dec. 31, 2017",1.300
"Sept. 30, 2017",1.274
"June 30, 2017",1.188
"March 31, 2017",0.8055
"Dec. 31, 2016",0.839
"Sept. 30, 2016",0.66
"June 30, 2016",0.9151
"March 31, 2016",1.372
"Dec. 31, 2015",1.469
"Sept. 30, 2015",
"June 30, 2015",
"March 31, 2015",
"Dec. 31, 2014",
"Sept. 30, 2014",
"June 30, 2014",5.346
"March 31, 2014",5.340
"Dec. 31, 2013",5.347
"Sept. 30, 2013",5.517
"June 30, 2013",5.790
"March 31, 2013",6.132
"Dec. 31, 2012",6.664
"Sept. 30, 2012",7.551
"June 30, 2012",7.354
