date,sales_est_0y
"March 18, 2020",16.22B
"March 17, 2020",16.56B
"March 12, 2020",16.55B
"Feb. 25, 2020",16.75B
"Feb. 21, 2020",16.78B
"Feb. 20, 2020",16.75B
"Feb. 3, 2020",16.95B
"Jan. 18, 2020",16.92B
"Jan. 15, 2020",16.94B
"Dec. 31, 2019",16.57B
"Dec. 17, 2019",16.57B
"Dec. 5, 2019",16.57B
"Nov. 8, 2019",16.59B
"Nov. 7, 2019",16.58B
"Nov. 6, 2019",16.28B
"Oct. 28, 2019",16.55B
"Oct. 16, 2019",16.68B
"Oct. 8, 2019",16.68B
"Oct. 5, 2019",16.90B
"Sept. 26, 2019",16.92B
"Aug. 12, 2019",16.77B
"Aug. 9, 2019",16.93B
"Aug. 8, 2019",16.93B
"Aug. 5, 2019",16.23B
"July 19, 2019",16.31B
"July 16, 2019",16.22B
"June 26, 2019",16.22B
"June 20, 2019",16.24B
"May 21, 2019",16.23B
"May 10, 2019",16.51B
"May 9, 2019",16.51B
"May 8, 2019",16.31B
"May 6, 2019",16.31B
"April 25, 2019",16.06B
"April 15, 2019",16.14B
"March 30, 2019",15.84B
"March 25, 2019",15.85B
"March 6, 2019",15.85B
"Feb. 25, 2019",16.06B
"Feb. 22, 2019",16.25B
"Feb. 21, 2019",16.82B
"Feb. 13, 2019",16.92B
"Jan. 19, 2019",16.10B
"Jan. 15, 2019",16.09B
"Jan. 11, 2019",16.05B
"Jan. 2, 2019",16.40B
"Dec. 31, 2018",17.30B
"Dec. 20, 2018",17.53B
"Dec. 13, 2018",17.52B
"Dec. 12, 2018",17.52B
"Dec. 11, 2018",17.52B
"Dec. 6, 2018",17.52B
"Nov. 30, 2018",17.55B
"Nov. 21, 2018",17.69B
"Nov. 12, 2018",17.85B
"Nov. 9, 2018",17.85B
"Nov. 8, 2018",17.49B
"Nov. 2, 2018",17.48B
"Oct. 24, 2018",17.32B
"Oct. 19, 2018",17.48B
"Oct. 9, 2018",17.41B
"Oct. 4, 2018",17.26B
"Sept. 13, 2018",17.28B
"Sept. 12, 2018",17.21B
"Aug. 28, 2018",17.29B
"Aug. 16, 2018",17.19B
"Aug. 15, 2018",17.16B
"Aug. 10, 2018",17.05B
"Aug. 9, 2018",16.62B
"July 25, 2018",15.62B
"July 3, 2018",15.54B
"June 20, 2018",15.48B
"June 11, 2018",15.36B
"June 4, 2018",15.30B
"May 18, 2018",15.24B
"May 14, 2018",14.97B
"May 11, 2018",14.99B
"May 10, 2018",15.14B
"May 9, 2018",12.65B
"April 24, 2018",12.42B
"April 20, 2018",12.42B
"April 13, 2018",12.43B
"April 5, 2018",12.65B
"March 14, 2018",12.59B
"March 10, 2018",12.59B
"March 6, 2018",12.59B
"Feb. 28, 2018",12.61B
"Feb. 27, 2018",12.75B
"Feb. 26, 2018",13.19B
"Feb. 23, 2018",13.58B
"Feb. 22, 2018",13.47B
"Feb. 6, 2018",12.52B
"Jan. 29, 2018",12.53B
"Jan. 26, 2018",12.90B
"Jan. 25, 2018",12.78B
"Jan. 19, 2018",12.75B
"Jan. 12, 2018",12.68B
"Jan. 11, 2018",12.68B
"Jan. 5, 2018",12.40B
"Jan. 4, 2018",12.40B
