date,cash_dividend_payout_ratio
"Dec. 31, 2019",123.0%
"Sept. 30, 2019",110.1%
"June 30, 2019",144.6%
"March 31, 2019",-528.8%
"Dec. 31, 2018",-269.7%
"Sept. 30, 2018",-116.3%
"June 30, 2018",-589.0%
"March 31, 2018",317.7%
"Dec. 31, 2017",145.1%
"Sept. 30, 2017",79.69%
"June 30, 2017",115.4%
"March 31, 2017",93.94%
"Dec. 31, 2016",111.8%
"Sept. 30, 2016",79.58%
"June 30, 2016",72.27%
"March 31, 2016",73.23%
"Dec. 31, 2015",162.0%
"Sept. 30, 2015",-1.09K%
"June 30, 2015",-112.9%
"March 31, 2015",-123.9%
"Dec. 31, 2014",
"Sept. 30, 2014",
"June 30, 2014",-41.71%
"March 31, 2014",-33.83%
"Dec. 31, 2013",-60.39%
"Sept. 30, 2013",-30.73%
"June 30, 2013",-465.6%
"March 31, 2013",-568.4%
"Dec. 31, 2012",-751.0%
"Sept. 30, 2012",1.29K%
"June 30, 2012",0.00%
"March 31, 2012",0.00%
"Dec. 31, 2011",0.00%
