date,market_cap_fractile
"Dec. 31, 2019",3.00
"Sept. 30, 2019",3.00
"June 30, 2019",3.00
"March 31, 2019",3.00
"Dec. 31, 2018",3.00
"Sept. 30, 2018",3.00
"June 30, 2018",3.00
"March 31, 2018",3.00
"Dec. 31, 2017",3.00
"Sept. 30, 2017",2.00
"June 30, 2017",3.00
"March 31, 2017",3.00
"Dec. 31, 2016",3.00
"Sept. 30, 2016",2.00
"June 30, 2016",2.00
"March 31, 2016",2.00
"Dec. 31, 2015",2.00
"Sept. 30, 2015",2.00
"June 30, 2015",3.00
"March 31, 2015",3.00
"June 30, 2014",3.00
"March 31, 2014",3.00
"Dec. 31, 2013",3.00
"Sept. 30, 2013",3.00
"June 30, 2013",3.00
"March 31, 2013",3.00
"Dec. 31, 2012",3.00
"Sept. 30, 2012",3.00
