date,tangible_common_equity_ratio
"Dec. 31, 2019",-44.58%
"Sept. 30, 2019",-44.62%
"June 30, 2019",-45.10%
"March 31, 2019",-45.60%
"Dec. 31, 2018",-56.78%
"Sept. 30, 2018",-42.04%
"June 30, 2018",-42.11%
"March 31, 2018",-40.73%
"Dec. 31, 2017",0.80%
"Sept. 30, 2017",5.03%
"June 30, 2017",4.36%
"March 31, 2017",-32.42%
"Dec. 31, 2016",-2.02%
"Sept. 30, 2016",-38.48%
"June 30, 2016",-36.28%
"March 31, 2016",-29.33%
"Dec. 31, 2015",19.95%
"Sept. 30, 2015",-10.14%
"June 30, 2015",-4.16%
"March 31, 2015",9.11%
"Dec. 31, 2014",32.37%
"Sept. 30, 2014",6.97%
"June 30, 2014",7.79%
"March 31, 2014",7.90%
"Dec. 31, 2013",9.90%
"Sept. 30, 2013",10.37%
"June 30, 2013",12.23%
"March 31, 2013",12.01%
"Dec. 31, 2012",13.22%
"Sept. 30, 2012",11.98%
"June 30, 2012",39.23%
"March 31, 2012",34.87%
"Dec. 31, 2011",38.35%
