date,capex_ttm
"Dec. 31, 2019",148.00M
"Sept. 30, 2019",144.00M
"June 30, 2019",128.00M
"March 31, 2019",111.00M
"Dec. 31, 2018",105.00M
"Sept. 30, 2018",102.00M
"June 30, 2018",118.00M
"March 31, 2018",125.00M
"Dec. 31, 2017",142.00M
"Sept. 30, 2017",190.00M
"June 30, 2017",175.00M
"March 31, 2017",96.00M
"Dec. 31, 2016",169.00M
"Sept. 30, 2016",-61.94M
"June 30, 2016",38.26M
"March 31, 2016",220.77M
"Dec. 31, 2015",239.00M
"Sept. 30, 2015",383.94M
"June 30, 2015",252.74M
"March 31, 2015",164.66M
"Dec. 31, 2014",67.64M
"Sept. 30, 2014",82.09M
"June 30, 2014",125.99M
"March 31, 2014",119.61M
"Dec. 31, 2013",116.25M
"Sept. 30, 2013",135.95M
"June 30, 2013",95.04M
"March 31, 2013",70.67M
"Dec. 31, 2012",44.01M
"Sept. 30, 2012",22.88M
"June 30, 2012",22.24M
"March 31, 2012",18.66M
"Dec. 31, 2011",19.44M
"Sept. 30, 2011",6.41M
"June 30, 2011",4.069M
"March 31, 2011",1.97M
