date,gross_profit_margin
"Dec. 31, 2019",6.95%
"Sept. 30, 2019",6.74%
"June 30, 2019",6.01%
"March 31, 2019",10.02%
"Dec. 31, 2018",4.72%
"Sept. 30, 2018",6.99%
"June 30, 2018",6.73%
"March 31, 2018",7.90%
"Dec. 31, 2017",9.36%
"Sept. 30, 2017",10.31%
"June 30, 2017",8.96%
"March 31, 2017",9.12%
"Dec. 31, 2016",12.98%
"Sept. 30, 2016",8.86%
"June 30, 2016",10.69%
"March 31, 2016",15.89%
"Dec. 31, 2015",27.60%
"Sept. 30, 2015",10.69%
"June 30, 2015",10.64%
"March 31, 2015",10.16%
"Dec. 31, 2014",
"Sept. 30, 2014",
"June 30, 2014",1.61%
"March 31, 2014",1.82%
"Dec. 31, 2013",1.80%
"Sept. 30, 2013",1.58%
"June 30, 2013",1.51%
"March 31, 2013",1.43%
"Dec. 31, 2012",1.39%
"Sept. 30, 2012",1.16%
"June 30, 2012",1.31%
"March 31, 2012",0.92%
"Dec. 31, 2011",1.03%
"Sept. 30, 2011",1.16%
"June 30, 2011",1.21%
"March 31, 2011",1.04%
