date,return_on_assets
"Dec. 31, 2019",5.86%
"Sept. 30, 2019",2.99%
"June 30, 2019",3.93%
"March 31, 2019",4.28%
"Dec. 31, 2018",-3.66%
"Sept. 30, 2018",1.53%
"June 30, 2018",1.76%
"March 31, 2018",-2.18%
"Dec. 31, 2017",1.77%
"Sept. 30, 2017",-7.81%
"June 30, 2017",-8.80%
"March 31, 2017",-5.34%
"Dec. 31, 2016",-4.84%
"Sept. 30, 2016",2.25%
"June 30, 2016",2.31%
"March 31, 2016",3.17%
"Dec. 31, 2015",3.62%
"Sept. 30, 2015",
"June 30, 2015",
"March 31, 2015",
"Dec. 31, 2014",
"Sept. 30, 2014",
"June 30, 2014",9.34%
"March 31, 2014",9.73%
"Dec. 31, 2013",9.73%
"Sept. 30, 2013",9.91%
"June 30, 2013",8.97%
"March 31, 2013",7.80%
"Dec. 31, 2012",6.31%
"Sept. 30, 2012",4.27%
"June 30, 2012",4.35%
