date,revenues_growth
"Dec. 31, 2019",5.70%
"Sept. 30, 2019",-9.03%
"June 30, 2019",-2.87%
"March 31, 2019",-1.52%
"Dec. 31, 2018",31.02%
"Sept. 30, 2018",55.39%
"June 30, 2018",59.30%
"March 31, 2018",33.51%
"Dec. 31, 2017",-27.26%
"Sept. 30, 2017",41.39%
"June 30, 2017",36.22%
"March 31, 2017",-12.66%
"Dec. 31, 2016",
"Sept. 30, 2016",-55.84%
"June 30, 2016",-58.58%
"March 31, 2016",-25.96%
"Dec. 31, 2015",
"Sept. 30, 2015",
"June 30, 2015",272.5%
"March 31, 2015",256.9%
"Dec. 31, 2014",
"Sept. 30, 2014",
"June 30, 2014",22.76%
"March 31, 2014",11.57%
"Dec. 31, 2013",5.87%
"Sept. 30, 2013",5.15%
"June 30, 2013",3.16%
"March 31, 2013",1.66%
"Dec. 31, 2012",3.20%
"Sept. 30, 2012",11.87%
"June 30, 2012",7.43%
"March 31, 2012",25.94%
