date,eps_growth
"Sept. 30, 2019",-49.11%
"June 30, 2019",-25.86%
"March 31, 2019",
"Dec. 31, 2018",
"Sept. 30, 2018",3.70%
"June 30, 2018",
"March 31, 2018",
"Dec. 31, 2017",
"Sept. 30, 2017",350.0%
"June 30, 2017",
"March 31, 2017",
"Dec. 31, 2016",
"Sept. 30, 2016",-20.00%
"June 30, 2016",-39.08%
"March 31, 2016",6.82%
"Dec. 31, 2015",-81.93%
"Sept. 30, 2015",
"June 30, 2015",102.3%
"March 31, 2015",-4.35%
"Dec. 31, 2014",93.02%
"Sept. 30, 2014",
"June 30, 2014",-2.27%
"March 31, 2014",21.05%
"Dec. 31, 2013",10.26%
"Sept. 30, 2013",1.33K%
"June 30, 2013",160.0%
"March 31, 2013",396.7%
"Dec. 31, 2012",311.4%
"Sept. 30, 2012",-79.08%
"June 30, 2012",5.02%
"March 31, 2012",-10.05%
