date,net_income_cs_rev
"Dec. 31, 2019",2.03%
"Sept. 30, 2019",1.52%
"June 30, 2019",1.23%
"March 31, 2019",2.95%
"Dec. 31, 2018",-1.86%
"Sept. 30, 2018",2.35%
"June 30, 2018",1.48%
"March 31, 2018",-8.40%
"Dec. 31, 2017",7.84%
"Sept. 30, 2017",4.50%
"June 30, 2017",-7.68%
"March 31, 2017",0.04%
"Dec. 31, 2016",-14.38%
"Sept. 30, 2016",2.08%
"June 30, 2016",3.39%
"March 31, 2016",1.28%
"Dec. 31, 2015",-1.50%
"Sept. 30, 2015",0.51%
"June 30, 2015",1.81%
"March 31, 2015",1.12%
"Dec. 31, 2014",
"Sept. 30, 2014",
"June 30, 2014",0.69%
"March 31, 2014",0.83%
"Dec. 31, 2013",0.85%
"Sept. 30, 2013",0.82%
"June 30, 2013",0.86%
"March 31, 2013",0.75%
"Dec. 31, 2012",0.81%
"Sept. 30, 2012",0.33%
"June 30, 2012",0.34%
"March 31, 2012",0.16%
"Dec. 31, 2011",0.20%
"Sept. 30, 2011",0.32%
"June 30, 2011",0.35%
"March 31, 2011",0.22%
