date,revenues_per_share
"Dec. 31, 2019",48.98
"Sept. 30, 2019",51.78
"June 30, 2019",53.59
"March 31, 2019",44.28
"Dec. 31, 2018",46.62
"Sept. 30, 2018",57.30
"June 30, 2018",55.54
"March 31, 2018",41.53
"Dec. 31, 2017",29.54
"Sept. 30, 2017",30.60
"June 30, 2017",28.95
"March 31, 2017",28.45
"Dec. 31, 2016",42.31
"Sept. 30, 2016",22.71
"June 30, 2016",22.25
"March 31, 2016",36.75
"Dec. 31, 2015",-25.93
"Sept. 30, 2015",89.68
"June 30, 2015",142.88
"March 31, 2015",123.80
"Dec. 31, 2014",
"Sept. 30, 2014",
"June 30, 2014",62.59
"March 31, 2014",55.35
"Dec. 31, 2013",51.30
"Sept. 30, 2013",53.21
"June 30, 2013",51.19
"March 31, 2013",49.81
"Dec. 31, 2012",48.08
"Sept. 30, 2012",50.72
"June 30, 2012",49.66
"March 31, 2012",49.03
"Dec. 31, 2011",46.62
"Sept. 30, 2011",45.33
"June 30, 2011",46.22
"March 31, 2011",38.93
