date,total_employee_number
"Dec. 31, 2019",2909
"Dec. 31, 2018",3622
"Dec. 31, 2017",6513
"Dec. 31, 2016",22500
"Dec. 31, 2015",11850
"Dec. 31, 2014",1954
"Dec. 31, 2013",170
