date,assets
"Dec. 31, 2019",5.438B
"Sept. 30, 2019",5.497B
"June 30, 2019",5.47B
"March 31, 2019",5.423B
"Dec. 31, 2018",4.879B
"Sept. 30, 2018",5.148B
"June 30, 2018",5.006B
"March 31, 2018",4.919B
"Dec. 31, 2017",8.344B
"Sept. 30, 2017",8.307B
"June 30, 2017",8.311B
"March 31, 2017",8.454B
"Dec. 31, 2016",8.701B
"Sept. 30, 2016",8.997B
"June 30, 2016",8.762B
"March 31, 2016",8.803B
"Dec. 31, 2015",8.842B
"Sept. 30, 2015",6.180B
"June 30, 2015",3.578B
"March 31, 2015",2.210B
"Dec. 31, 2014",6.149B
"Sept. 30, 2014",1.300B
"June 30, 2014",459.35M
"March 31, 2014",454.16M
"Dec. 31, 2013",390.08M
"Sept. 30, 2013",385.39M
"June 30, 2013",386.26M
"March 31, 2013",384.92M
"Dec. 31, 2012",355.80M
"Sept. 30, 2012",307.18M
"June 30, 2012",242.76M
"March 31, 2012",256.17M
"Dec. 31, 2011",231.32M
