date,vix_volatility_index
"Feb. 26, 2019",15.17
"Feb. 25, 2019",14.85
"Feb. 22, 2019",13.51
"Feb. 21, 2019",14.46
"Feb. 20, 2019",14.02
"Feb. 19, 2019",14.88
"Feb. 15, 2019",14.91
"Feb. 14, 2019",16.22
"Feb. 13, 2019",15.65
"Feb. 12, 2019",15.43
"Feb. 11, 2019",15.97
"Feb. 8, 2019",15.72
"Feb. 7, 2019",16.37
"Feb. 6, 2019",15.38
"Feb. 5, 2019",15.57
"Feb. 4, 2019",15.73
"Feb. 1, 2019",16.14
"Jan. 31, 2019",16.57
"Jan. 30, 2019",17.66
"Jan. 29, 2019",19.13
"Jan. 28, 2019",18.87
"Jan. 25, 2019",17.42
"Jan. 24, 2019",18.89
"Jan. 23, 2019",19.52
"Jan. 22, 2019",20.80
"Jan. 18, 2019",17.80
"Jan. 17, 2019",18.06
"Jan. 16, 2019",19.04
"Jan. 15, 2019",18.60
"Jan. 14, 2019",19.07
"Jan. 11, 2019",18.19
"Jan. 10, 2019",19.50
"Jan. 9, 2019",19.98
"Jan. 8, 2019",20.47
"Jan. 7, 2019",21.40
"Jan. 4, 2019",21.38
"Jan. 3, 2019",25.45
"Jan. 2, 2019",23.22
"Dec. 31, 2018",25.42
"Dec. 28, 2018",28.34
"Dec. 27, 2018",29.96
"Dec. 26, 2018",30.41
"Dec. 24, 2018",36.07
"Dec. 21, 2018",30.11
"Dec. 20, 2018",28.38
"Dec. 19, 2018",25.58
"Dec. 18, 2018",25.58
"Dec. 17, 2018",24.52
"Dec. 14, 2018",21.63
"Dec. 13, 2018",20.65
"Dec. 12, 2018",21.46
"Dec. 11, 2018",21.76
"Dec. 10, 2018",22.64
"Dec. 7, 2018",23.23
"Dec. 6, 2018",21.19
"Dec. 4, 2018",20.74
"Dec. 3, 2018",16.44
"Nov. 30, 2018",18.07
"Nov. 29, 2018",18.79
"Nov. 28, 2018",18.49
"Nov. 27, 2018",19.02
"Nov. 26, 2018",18.90
"Nov. 23, 2018",21.52
"Nov. 21, 2018",20.80
"Nov. 20, 2018",22.48
"Nov. 19, 2018",20.10
"Nov. 16, 2018",18.14
"Nov. 15, 2018",19.98
"Nov. 14, 2018",21.25
"Nov. 13, 2018",20.02
"Nov. 12, 2018",20.45
"Nov. 9, 2018",17.36
"Nov. 8, 2018",16.72
"Nov. 7, 2018",16.36
"Nov. 6, 2018",19.91
"Nov. 5, 2018",19.96
"Nov. 2, 2018",19.51
"Nov. 1, 2018",19.34
"Oct. 31, 2018",21.23
"Oct. 30, 2018",23.35
"Oct. 29, 2018",24.70
"Oct. 26, 2018",24.16
"Oct. 25, 2018",24.22
"Oct. 24, 2018",25.23
"Oct. 23, 2018",20.71
"Oct. 22, 2018",19.64
"Oct. 19, 2018",19.89
"Oct. 18, 2018",20.06
"Oct. 17, 2018",17.40
"Oct. 16, 2018",17.62
"Oct. 15, 2018",21.30
"Oct. 12, 2018",21.31
"Oct. 11, 2018",24.98
"Oct. 10, 2018",22.96
"Oct. 9, 2018",15.95
"Oct. 8, 2018",15.69
"Oct. 5, 2018",14.82
"Oct. 4, 2018",14.22
"Oct. 3, 2018",11.61
"Oct. 2, 2018",12.05
"Oct. 1, 2018",12.00
"Sept. 28, 2018",12.12
"Sept. 27, 2018",12.41
"Sept. 26, 2018",12.89
"Sept. 25, 2018",12.42
"Sept. 24, 2018",12.20
"Sept. 21, 2018",11.68
"Sept. 20, 2018",11.80
"Sept. 19, 2018",11.75
"Sept. 18, 2018",12.79
"Sept. 17, 2018",13.68
"Sept. 14, 2018",12.07
"Sept. 13, 2018",12.37
"Sept. 12, 2018",13.14
"Sept. 11, 2018",13.22
"Sept. 10, 2018",14.16
"Sept. 7, 2018",14.88
"Sept. 6, 2018",14.65
"Sept. 5, 2018",13.91
"Sept. 4, 2018",13.16
"Aug. 31, 2018",12.86
"Aug. 30, 2018",13.53
"Aug. 29, 2018",12.25
"Aug. 28, 2018",12.50
"Aug. 27, 2018",12.16
"Aug. 24, 2018",11.99
"Aug. 23, 2018",12.41
"Aug. 22, 2018",12.25
"Aug. 21, 2018",12.86
"Aug. 20, 2018",12.49
"Aug. 17, 2018",12.64
"Aug. 16, 2018",13.45
"Aug. 15, 2018",14.64
"Aug. 14, 2018",13.31
"Aug. 13, 2018",14.78
"Aug. 10, 2018",13.16
"Aug. 9, 2018",11.27
"Aug. 8, 2018",10.85
"Aug. 7, 2018",10.93
"Aug. 6, 2018",11.27
"Aug. 3, 2018",11.64
"Aug. 2, 2018",12.19
"Aug. 1, 2018",13.15
"July 31, 2018",12.83
"July 30, 2018",14.26
"July 27, 2018",13.03
"July 26, 2018",12.14
"July 25, 2018",12.29
"July 24, 2018",12.41
"July 23, 2018",12.62
"July 20, 2018",12.86
"July 19, 2018",12.87
"July 18, 2018",12.10
"July 17, 2018",12.06
"July 16, 2018",12.83
"July 13, 2018",12.18
"July 12, 2018",12.58
"July 11, 2018",13.63
"July 10, 2018",12.64
"July 9, 2018",12.69
"July 6, 2018",13.37
"July 5, 2018",14.97
"July 3, 2018",16.14
"July 2, 2018",15.60
"June 29, 2018",16.09
"June 28, 2018",16.85
"June 27, 2018",17.91
"June 26, 2018",15.92
"June 25, 2018",17.33
"June 22, 2018",13.77
"June 21, 2018",14.64
"June 20, 2018",12.79
"June 19, 2018",13.35
"June 18, 2018",12.31
"June 15, 2018",11.98
"June 14, 2018",12.12
"June 13, 2018",12.94
"June 12, 2018",12.34
"June 11, 2018",12.35
"June 8, 2018",12.18
"June 7, 2018",12.13
"June 6, 2018",11.64
"June 5, 2018",12.40
"June 4, 2018",12.74
"June 1, 2018",13.46
"May 31, 2018",15.43
"May 30, 2018",14.94
"May 29, 2018",17.02
"May 25, 2018",13.22
"May 24, 2018",12.53
"May 23, 2018",12.58
"May 22, 2018",13.22
"May 21, 2018",13.08
"May 18, 2018",13.42
"May 17, 2018",13.43
"May 16, 2018",13.42
"May 15, 2018",14.63
"May 14, 2018",12.93
"May 11, 2018",12.65
"May 10, 2018",13.23
"May 9, 2018",13.42
"May 8, 2018",14.71
"May 7, 2018",14.75
"May 4, 2018",14.77
"May 3, 2018",15.90
"May 2, 2018",15.97
"May 1, 2018",15.49
"April 30, 2018",15.93
"April 27, 2018",15.41
"April 26, 2018",16.24
"April 25, 2018",17.84
"April 24, 2018",18.02
"April 23, 2018",16.34
"April 20, 2018",16.88
"April 19, 2018",15.96
"April 18, 2018",15.60
"April 17, 2018",15.25
"April 16, 2018",16.56
"April 13, 2018",17.41
"April 12, 2018",18.49
"April 11, 2018",20.24
"April 10, 2018",20.47
"April 9, 2018",21.77
"April 6, 2018",21.49
"April 5, 2018",18.94
"April 4, 2018",20.06
"April 3, 2018",21.10
"April 2, 2018",23.62
"March 29, 2018",19.97
"March 28, 2018",22.87
"March 27, 2018",22.50
"March 26, 2018",21.03
"March 23, 2018",24.87
"March 22, 2018",23.34
"March 21, 2018",17.86
"March 20, 2018",18.20
"March 19, 2018",19.02
"March 16, 2018",15.80
"March 15, 2018",16.59
"March 14, 2018",17.23
"March 13, 2018",16.35
"March 12, 2018",15.78
"March 9, 2018",14.64
"March 8, 2018",16.54
"March 7, 2018",17.76
"March 6, 2018",18.36
"March 5, 2018",18.73
"March 2, 2018",19.59
"March 1, 2018",22.47
"Feb. 28, 2018",19.85
"Feb. 27, 2018",18.59
"Feb. 26, 2018",15.80
"Feb. 23, 2018",16.49
"Feb. 22, 2018",18.72
"Feb. 21, 2018",20.02
"Feb. 20, 2018",20.60
"Feb. 16, 2018",19.46
"Feb. 15, 2018",19.13
"Feb. 14, 2018",19.26
"Feb. 13, 2018",24.97
"Feb. 12, 2018",25.61
"Feb. 9, 2018",29.06
"Feb. 8, 2018",33.46
"Feb. 7, 2018",27.73
"Feb. 6, 2018",29.98
"Feb. 5, 2018",37.32
"Feb. 2, 2018",17.31
"Feb. 1, 2018",13.47
"Jan. 31, 2018",13.54
"Jan. 30, 2018",14.79
"Jan. 29, 2018",13.84
"Jan. 26, 2018",11.08
"Jan. 25, 2018",11.58
"Jan. 24, 2018",11.47
"Jan. 23, 2018",11.10
"Jan. 22, 2018",11.03
"Jan. 19, 2018",11.27
"Jan. 18, 2018",12.22
"Jan. 17, 2018",11.91
"Jan. 16, 2018",11.66
"Jan. 12, 2018",10.16
"Jan. 11, 2018",9.88
"Jan. 10, 2018",9.82
"Jan. 9, 2018",10.08
"Jan. 8, 2018",9.52
"Jan. 5, 2018",9.22
"Jan. 4, 2018",9.22
"Jan. 3, 2018",9.15
"Jan. 2, 2018",9.77
"Dec. 29, 2017",11.04
"Dec. 28, 2017",10.18
"Dec. 27, 2017",10.47
"Dec. 26, 2017",10.25
"Dec. 22, 2017",9.90
"Dec. 21, 2017",9.62
"Dec. 20, 2017",9.72
"Dec. 19, 2017",10.03
"Dec. 18, 2017",9.53
"Dec. 15, 2017",9.42
"Dec. 14, 2017",10.49
"Dec. 13, 2017",10.18
"Dec. 12, 2017",9.92
"Dec. 11, 2017",9.34
"Dec. 8, 2017",9.58
"Dec. 7, 2017",10.16
"Dec. 6, 2017",11.02
"Dec. 5, 2017",11.33
"Dec. 4, 2017",11.68
"Dec. 1, 2017",11.43
"Nov. 30, 2017",11.28
"Nov. 29, 2017",10.70
"Nov. 28, 2017",10.03
"Nov. 27, 2017",9.87
"Nov. 24, 2017",9.67
"Nov. 22, 2017",9.88
"Nov. 21, 2017",9.73
"Nov. 20, 2017",10.65
"Nov. 17, 2017",11.43
"Nov. 16, 2017",11.76
"Nov. 15, 2017",13.13
"Nov. 14, 2017",11.59
"Nov. 13, 2017",11.50
"Nov. 10, 2017",11.29
"Nov. 9, 2017",10.50
"Nov. 8, 2017",9.78
"Nov. 7, 2017",9.89
"Nov. 6, 2017",9.40
"Nov. 3, 2017",9.14
"Nov. 2, 2017",9.93
"Nov. 1, 2017",10.20
"Oct. 31, 2017",10.18
"Oct. 30, 2017",10.50
"Oct. 27, 2017",9.80
"Oct. 26, 2017",11.30
"Oct. 25, 2017",11.23
"Oct. 24, 2017",11.16
"Oct. 23, 2017",11.07
"Oct. 20, 2017",9.97
"Oct. 19, 2017",10.05
"Oct. 18, 2017",10.07
"Oct. 17, 2017",10.31
"Oct. 16, 2017",9.91
"Oct. 13, 2017",9.61
"Oct. 12, 2017",9.91
"Oct. 11, 2017",9.85
"Oct. 10, 2017",10.08
"Oct. 9, 2017",10.33
"Oct. 6, 2017",9.65
"Oct. 5, 2017",9.19
"Oct. 4, 2017",9.63
"Oct. 3, 2017",9.51
"Oct. 2, 2017",9.45
"Sept. 29, 2017",9.51
"Sept. 28, 2017",9.55
"Sept. 27, 2017",9.87
"Sept. 26, 2017",10.17
"Sept. 25, 2017",10.21
"Sept. 22, 2017",9.59
"Sept. 21, 2017",9.67
"Sept. 20, 2017",9.78
"Sept. 19, 2017",10.18
"Sept. 18, 2017",10.15
"Sept. 15, 2017",10.17
"Sept. 14, 2017",10.44
"Sept. 13, 2017",10.50
"Sept. 12, 2017",10.58
"Sept. 11, 2017",10.73
"Sept. 8, 2017",12.12
"Sept. 7, 2017",11.55
"Sept. 6, 2017",11.63
"Sept. 5, 2017",12.23
"Sept. 1, 2017",10.13
"Aug. 31, 2017",10.59
"Aug. 30, 2017",11.22
"Aug. 29, 2017",11.70
"Aug. 28, 2017",11.32
"Aug. 25, 2017",11.28
"Aug. 24, 2017",12.23
"Aug. 23, 2017",12.25
"Aug. 22, 2017",11.35
"Aug. 21, 2017",13.19
"Aug. 18, 2017",14.26
"Aug. 17, 2017",15.55
"Aug. 16, 2017",11.74
"Aug. 15, 2017",12.04
"Aug. 14, 2017",12.33
"Aug. 11, 2017",15.51
"Aug. 10, 2017",16.04
"Aug. 9, 2017",11.11
"Aug. 8, 2017",10.96
"Aug. 7, 2017",9.93
"Aug. 4, 2017",10.03
"Aug. 3, 2017",10.44
"Aug. 2, 2017",10.28
"Aug. 1, 2017",10.09
"July 31, 2017",10.26
"July 28, 2017",10.29
"July 27, 2017",10.11
"July 26, 2017",9.60
"July 25, 2017",9.43
"July 24, 2017",9.43
"July 21, 2017",9.36
"July 20, 2017",9.58
"July 19, 2017",9.79
"July 18, 2017",9.89
"July 17, 2017",9.82
"July 14, 2017",9.51
"July 13, 2017",9.90
"July 12, 2017",10.30
"July 11, 2017",10.89
"July 10, 2017",11.11
"July 7, 2017",11.19
"July 6, 2017",12.54
"July 5, 2017",11.07
"July 3, 2017",11.22
"June 30, 2017",11.18
"June 29, 2017",11.44
"June 28, 2017",10.03
"June 27, 2017",11.06
"June 26, 2017",9.90
"June 23, 2017",10.02
"June 22, 2017",10.48
"June 21, 2017",10.75
"June 20, 2017",10.86
"June 19, 2017",10.37
"June 16, 2017",10.38
"June 15, 2017",10.90
"June 14, 2017",10.64
"June 13, 2017",10.42
"June 12, 2017",11.46
"June 9, 2017",10.70
"June 8, 2017",10.16
"June 7, 2017",10.39
"June 6, 2017",10.45
"June 5, 2017",10.07
"June 2, 2017",9.75
"June 1, 2017",9.89
"May 31, 2017",10.41
"May 30, 2017",10.38
"May 26, 2017",9.81
"May 25, 2017",9.99
"May 24, 2017",10.02
"May 23, 2017",10.72
"May 22, 2017",10.93
"May 19, 2017",12.04
"May 18, 2017",14.66
"May 17, 2017",15.59
"May 16, 2017",10.65
"May 15, 2017",10.42
"May 12, 2017",10.40
"May 11, 2017",10.60
"May 10, 2017",10.21
"May 9, 2017",9.96
"May 8, 2017",9.77
"May 5, 2017",10.57
"May 4, 2017",10.46
"May 3, 2017",10.68
"May 2, 2017",10.59
"May 1, 2017",10.11
"April 28, 2017",10.82
"April 27, 2017",10.36
"April 26, 2017",10.85
"April 25, 2017",10.76
"April 24, 2017",10.84
"April 21, 2017",14.63
"April 20, 2017",14.15
"April 19, 2017",14.93
"April 18, 2017",14.42
"April 17, 2017",14.66
"April 13, 2017",15.96
"April 12, 2017",15.77
"April 11, 2017",15.07
"April 10, 2017",14.05
"April 7, 2017",12.87
"April 6, 2017",12.39
"April 5, 2017",12.89
"April 4, 2017",11.79
"April 3, 2017",12.38
"March 31, 2017",12.37
"March 30, 2017",11.54
"March 29, 2017",11.42
"March 28, 2017",11.53
"March 27, 2017",12.50
"March 24, 2017",12.96
"March 23, 2017",13.12
"March 22, 2017",12.81
"March 21, 2017",12.47
"March 20, 2017",11.34
"March 17, 2017",11.28
"March 16, 2017",11.21
"March 15, 2017",11.63
"March 14, 2017",12.30
"March 13, 2017",11.35
"March 10, 2017",11.66
"March 9, 2017",12.30
"March 8, 2017",11.86
"March 7, 2017",11.45
"March 6, 2017",11.24
"March 3, 2017",10.96
"March 2, 2017",11.81
"March 1, 2017",12.54
"Feb. 28, 2017",12.92
"Feb. 27, 2017",12.09
"Feb. 24, 2017",11.47
"Feb. 23, 2017",11.71
"Feb. 22, 2017",11.74
"Feb. 21, 2017",11.57
"Feb. 17, 2017",11.49
"Feb. 16, 2017",11.76
"Feb. 15, 2017",11.97
"Feb. 14, 2017",10.74
"Feb. 13, 2017",11.07
"Feb. 10, 2017",10.85
"Feb. 9, 2017",10.88
"Feb. 8, 2017",11.45
"Feb. 7, 2017",11.29
"Feb. 6, 2017",11.37
"Feb. 3, 2017",10.97
"Feb. 2, 2017",11.93
"Feb. 1, 2017",11.81
"Jan. 31, 2017",11.99
"Jan. 30, 2017",11.88
"Jan. 27, 2017",10.58
"Jan. 26, 2017",10.63
"Jan. 25, 2017",10.81
"Jan. 24, 2017",11.07
"Jan. 23, 2017",11.77
"Jan. 20, 2017",11.54
"Jan. 19, 2017",12.78
"Jan. 18, 2017",12.48
"Jan. 17, 2017",11.87
"Jan. 13, 2017",11.23
"Jan. 12, 2017",11.54
"Jan. 11, 2017",11.26
"Jan. 10, 2017",11.49
"Jan. 9, 2017",11.56
"Jan. 6, 2017",11.32
"Jan. 5, 2017",11.67
"Jan. 4, 2017",11.85
"Jan. 3, 2017",12.85
"Dec. 30, 2016",14.04
"Dec. 29, 2016",13.37
"Dec. 28, 2016",12.95
"Dec. 27, 2016",11.99
"Dec. 23, 2016",11.44
"Dec. 22, 2016",11.43
"Dec. 21, 2016",11.27
"Dec. 20, 2016",11.45
"Dec. 19, 2016",11.71
"Dec. 16, 2016",12.20
"Dec. 15, 2016",12.79
"Dec. 14, 2016",13.19
"Dec. 13, 2016",12.72
"Dec. 12, 2016",12.64
"Dec. 9, 2016",11.75
"Dec. 8, 2016",12.64
"Dec. 7, 2016",12.22
"Dec. 6, 2016",11.79
"Dec. 5, 2016",12.14
"Dec. 2, 2016",14.12
"Dec. 1, 2016",14.07
"Nov. 30, 2016",13.33
"Nov. 29, 2016",12.90
"Nov. 28, 2016",13.15
"Nov. 25, 2016",12.34
"Nov. 23, 2016",12.43
"Nov. 22, 2016",12.41
"Nov. 21, 2016",12.42
"Nov. 18, 2016",12.85
"Nov. 17, 2016",13.35
"Nov. 16, 2016",13.72
"Nov. 15, 2016",13.37
"Nov. 14, 2016",14.48
"Nov. 11, 2016",14.17
"Nov. 10, 2016",14.74
"Nov. 9, 2016",14.38
"Nov. 8, 2016",18.74
"Nov. 7, 2016",18.71
"Nov. 4, 2016",22.51
"Nov. 3, 2016",22.08
"Nov. 2, 2016",19.32
"Nov. 1, 2016",18.56
"Oct. 31, 2016",17.06
"Oct. 28, 2016",16.19
"Oct. 27, 2016",15.36
"Oct. 26, 2016",14.24
"Oct. 25, 2016",13.46
"Oct. 24, 2016",13.02
"Oct. 21, 2016",13.34
"Oct. 20, 2016",13.75
"Oct. 19, 2016",14.41
"Oct. 18, 2016",15.28
"Oct. 17, 2016",16.21
"Oct. 14, 2016",16.12
"Oct. 13, 2016",16.69
"Oct. 12, 2016",15.91
"Oct. 11, 2016",15.36
"Oct. 10, 2016",13.38
"Oct. 7, 2016",13.48
"Oct. 6, 2016",12.84
"Oct. 5, 2016",12.99
"Oct. 4, 2016",13.63
"Oct. 3, 2016",13.57
"Sept. 30, 2016",13.29
"Sept. 29, 2016",14.02
"Sept. 28, 2016",12.39
"Sept. 27, 2016",13.10
"Sept. 26, 2016",14.50
"Sept. 23, 2016",12.29
"Sept. 22, 2016",12.02
"Sept. 21, 2016",13.30
"Sept. 20, 2016",15.92
"Sept. 19, 2016",15.53
"Sept. 16, 2016",15.37
"Sept. 15, 2016",16.30
"Sept. 14, 2016",18.14
"Sept. 13, 2016",17.85
"Sept. 12, 2016",15.16
"Sept. 9, 2016",17.50
"Sept. 8, 2016",12.51
"Sept. 7, 2016",11.94
"Sept. 6, 2016",12.02
"Sept. 2, 2016",11.98
"Sept. 1, 2016",13.48
"Aug. 31, 2016",13.42
"Aug. 30, 2016",13.12
"Aug. 29, 2016",12.94
"Aug. 26, 2016",13.65
"Aug. 25, 2016",13.63
"Aug. 24, 2016",13.45
"Aug. 23, 2016",12.38
"Aug. 22, 2016",12.27
"Aug. 19, 2016",11.34
"Aug. 18, 2016",11.43
"Aug. 17, 2016",12.19
"Aug. 16, 2016",12.64
"Aug. 15, 2016",11.81
"Aug. 12, 2016",11.55
"Aug. 11, 2016",11.68
"Aug. 10, 2016",12.05
"Aug. 9, 2016",11.66
"Aug. 8, 2016",11.50
"Aug. 5, 2016",11.39
"Aug. 4, 2016",12.42
"Aug. 3, 2016",12.86
"Aug. 2, 2016",13.37
"Aug. 1, 2016",12.44
"July 29, 2016",11.87
"July 28, 2016",12.72
"July 27, 2016",12.83
"July 26, 2016",13.05
"July 25, 2016",12.87
"July 22, 2016",12.02
"July 21, 2016",12.74
"July 20, 2016",11.77
"July 19, 2016",11.97
"July 18, 2016",12.44
"July 15, 2016",12.67
"July 14, 2016",12.82
"July 13, 2016",13.04
"July 12, 2016",13.55
"July 11, 2016",13.54
"July 8, 2016",13.20
"July 7, 2016",14.76
"July 6, 2016",14.96
"July 5, 2016",15.58
"July 1, 2016",14.77
"June 30, 2016",15.63
"June 29, 2016",16.64
"June 28, 2016",18.75
"June 27, 2016",23.85
"June 24, 2016",25.76
