date,vix_volatility_index
"March 19, 2020",72.00
"March 18, 2020",76.45
"March 17, 2020",75.91
"March 16, 2020",82.69
"March 13, 2020",57.83
"March 12, 2020",75.47
"March 11, 2020",53.90
"March 10, 2020",47.30
"March 9, 2020",54.46
"March 6, 2020",41.94
"March 5, 2020",39.62
"March 4, 2020",31.99
"March 3, 2020",36.82
"March 2, 2020",33.42
"Feb. 28, 2020",40.11
"Feb. 27, 2020",39.16
"Feb. 26, 2020",27.56
"Feb. 25, 2020",27.85
"Feb. 24, 2020",25.03
"Feb. 21, 2020",17.08
"Feb. 20, 2020",15.56
"Feb. 19, 2020",14.38
"Feb. 18, 2020",14.83
"Feb. 14, 2020",13.68
"Feb. 13, 2020",14.15
"Feb. 12, 2020",13.74
"Feb. 11, 2020",15.18
"Feb. 10, 2020",15.04
"Feb. 7, 2020",15.47
"Feb. 6, 2020",14.96
"Feb. 5, 2020",15.15
"Feb. 4, 2020",16.05
"Feb. 3, 2020",17.97
"Jan. 31, 2020",18.84
"Jan. 30, 2020",15.49
"Jan. 29, 2020",16.39
"Jan. 28, 2020",16.28
"Jan. 27, 2020",18.23
"Jan. 24, 2020",14.56
"Jan. 23, 2020",12.98
"Jan. 22, 2020",12.91
"Jan. 21, 2020",12.85
"Jan. 17, 2020",12.10
"Jan. 16, 2020",12.32
"Jan. 15, 2020",12.42
"Jan. 14, 2020",12.39
"Jan. 13, 2020",12.32
"Jan. 10, 2020",12.56
"Jan. 9, 2020",12.54
"Jan. 8, 2020",13.45
"Jan. 7, 2020",13.79
"Jan. 6, 2020",13.85
"Jan. 3, 2020",14.02
"Jan. 2, 2020",12.47
"Dec. 31, 2019",13.78
"Dec. 30, 2019",14.82
"Dec. 27, 2019",13.43
"Dec. 26, 2019",12.65
"Dec. 24, 2019",12.67
"Dec. 23, 2019",12.61
"Dec. 20, 2019",12.51
"Dec. 19, 2019",12.50
"Dec. 18, 2019",12.58
"Dec. 17, 2019",12.29
"Dec. 16, 2019",12.14
"Dec. 13, 2019",12.63
"Dec. 12, 2019",13.94
"Dec. 11, 2019",14.99
"Dec. 10, 2019",15.68
"Dec. 9, 2019",15.86
"Dec. 6, 2019",13.62
"Dec. 5, 2019",14.52
"Dec. 4, 2019",14.80
"Dec. 3, 2019",15.96
"Dec. 2, 2019",14.91
"Nov. 29, 2019",12.62
"Nov. 27, 2019",11.75
"Nov. 26, 2019",11.54
"Nov. 25, 2019",11.87
"Nov. 22, 2019",12.34
"Nov. 21, 2019",13.13
"Nov. 20, 2019",12.78
"Nov. 19, 2019",12.86
"Nov. 18, 2019",12.46
"Nov. 15, 2019",12.05
"Nov. 14, 2019",13.05
"Nov. 13, 2019",13.00
"Nov. 12, 2019",12.68
"Nov. 11, 2019",12.69
"Nov. 8, 2019",12.07
"Nov. 7, 2019",12.73
"Nov. 6, 2019",12.62
"Nov. 5, 2019",13.10
"Nov. 4, 2019",12.83
"Nov. 1, 2019",12.30
"Oct. 31, 2019",13.22
"Oct. 30, 2019",12.33
"Oct. 29, 2019",13.20
"Oct. 28, 2019",13.11
"Oct. 25, 2019",12.65
"Oct. 24, 2019",13.71
"Oct. 23, 2019",14.01
"Oct. 22, 2019",14.46
"Oct. 21, 2019",14.00
"Oct. 18, 2019",14.25
"Oct. 17, 2019",13.79
"Oct. 16, 2019",13.68
"Oct. 15, 2019",13.54
"Oct. 14, 2019",14.57
"Oct. 11, 2019",15.58
"Oct. 10, 2019",17.57
"Oct. 9, 2019",18.64
"Oct. 8, 2019",20.28
"Oct. 7, 2019",17.86
"Oct. 4, 2019",17.04
"Oct. 3, 2019",19.12
"Oct. 2, 2019",20.56
"Oct. 1, 2019",18.56
"Sept. 30, 2019",16.24
"Sept. 27, 2019",17.22
"Sept. 26, 2019",16.07
"Sept. 25, 2019",15.96
"Sept. 24, 2019",17.05
"Sept. 23, 2019",14.91
"Sept. 20, 2019",15.32
"Sept. 19, 2019",14.05
"Sept. 18, 2019",13.95
"Sept. 17, 2019",14.44
"Sept. 16, 2019",14.67
"Sept. 13, 2019",13.74
"Sept. 12, 2019",14.22
"Sept. 11, 2019",14.61
"Sept. 10, 2019",15.20
"Sept. 9, 2019",15.27
"Sept. 6, 2019",15.00
"Sept. 5, 2019",16.27
"Sept. 4, 2019",17.33
"Sept. 3, 2019",19.66
"Aug. 30, 2019",18.98
"Aug. 29, 2019",17.88
"Aug. 28, 2019",19.35
"Aug. 27, 2019",20.31
"Aug. 26, 2019",19.32
"Aug. 23, 2019",19.87
"Aug. 22, 2019",16.68
"Aug. 21, 2019",15.80
"Aug. 20, 2019",17.50
"Aug. 19, 2019",16.88
"Aug. 16, 2019",18.47
"Aug. 15, 2019",21.18
"Aug. 14, 2019",22.10
"Aug. 13, 2019",17.52
"Aug. 12, 2019",21.09
"Aug. 9, 2019",17.97
"Aug. 8, 2019",16.91
"Aug. 7, 2019",19.49
"Aug. 6, 2019",20.17
"Aug. 5, 2019",24.59
"Aug. 2, 2019",17.61
"Aug. 1, 2019",17.87
"July 31, 2019",16.12
"July 30, 2019",13.94
"July 29, 2019",12.83
"July 26, 2019",12.16
"July 25, 2019",12.74
"July 24, 2019",12.07
"July 23, 2019",12.61
"July 22, 2019",13.53
"July 19, 2019",14.45
"July 18, 2019",13.53
"July 17, 2019",13.97
"July 16, 2019",12.86
"July 15, 2019",12.68
"July 12, 2019",12.39
"July 11, 2019",12.93
"July 10, 2019",13.03
"July 9, 2019",14.09
"July 8, 2019",13.96
"July 5, 2019",13.28
"July 3, 2019",12.57
"July 2, 2019",12.93
"July 1, 2019",14.06
"June 28, 2019",15.08
"June 27, 2019",15.82
"June 26, 2019",16.21
"June 25, 2019",16.28
"June 24, 2019",15.26
"June 21, 2019",15.40
"June 20, 2019",14.75
"June 19, 2019",14.33
"June 18, 2019",15.15
"June 17, 2019",15.35
"June 14, 2019",15.28
"June 13, 2019",15.82
"June 12, 2019",15.91
"June 11, 2019",15.99
"June 10, 2019",15.94
"June 7, 2019",16.30
"June 6, 2019",15.93
"June 5, 2019",16.09
"June 4, 2019",16.97
"June 3, 2019",18.86
"May 31, 2019",18.71
"May 30, 2019",17.30
"May 29, 2019",17.90
"May 28, 2019",17.50
"May 24, 2019",15.85
"May 23, 2019",16.92
"May 22, 2019",14.75
"May 21, 2019",14.95
"May 20, 2019",16.31
"May 17, 2019",15.96
"May 16, 2019",15.29
"May 15, 2019",16.44
"May 14, 2019",18.06
"May 13, 2019",20.55
"May 10, 2019",16.04
"May 9, 2019",19.10
"May 8, 2019",19.40
"May 7, 2019",19.32
"May 6, 2019",15.44
"May 3, 2019",12.87
"May 2, 2019",14.42
"May 1, 2019",14.80
"April 30, 2019",13.12
"April 29, 2019",13.11
"April 26, 2019",12.73
"April 25, 2019",13.25
"April 24, 2019",13.14
"April 23, 2019",12.28
"April 22, 2019",12.42
"April 18, 2019",12.09
"April 17, 2019",12.60
"April 16, 2019",12.18
"April 15, 2019",12.32
"April 12, 2019",12.01
"April 11, 2019",13.02
"April 10, 2019",13.30
"April 9, 2019",14.28
"April 8, 2019",13.18
"April 5, 2019",12.82
"April 4, 2019",13.58
"April 3, 2019",13.74
"April 2, 2019",13.36
"April 1, 2019",13.40
"March 29, 2019",13.71
"March 28, 2019",14.43
"March 27, 2019",15.15
"March 26, 2019",14.68
"March 25, 2019",16.33
"March 22, 2019",16.48
"March 21, 2019",13.63
"March 20, 2019",13.91
"March 19, 2019",13.56
"March 18, 2019",13.10
"March 15, 2019",12.88
"March 14, 2019",13.50
"March 13, 2019",13.41
"March 12, 2019",13.77
"March 11, 2019",14.33
"March 8, 2019",16.05
"March 7, 2019",16.59
"March 6, 2019",15.74
"March 5, 2019",14.74
"March 4, 2019",14.63
"March 1, 2019",13.57
"Feb. 28, 2019",14.78
"Feb. 27, 2019",14.70
