date,us_retail_sales
"Sept. 30, 2007",335.71B
"Aug. 31, 2007",333.79B
"July 31, 2007",332.20B
"June 30, 2007",330.89B
"May 31, 2007",334.16B
"April 30, 2007",329.40B
"March 31, 2007",331.14B
"Feb. 28, 2007",328.08B
"Jan. 31, 2007",327.07B
"Dec. 31, 2006",327.24B
"Nov. 30, 2006",323.41B
"Oct. 31, 2006",322.65B
"Sept. 30, 2006",322.82B
"Aug. 31, 2006",325.13B
"July 31, 2006",324.48B
"June 30, 2006",323.03B
"May 31, 2006",321.51B
"April 30, 2006",322.46B
"March 31, 2006",321.53B
"Feb. 28, 2006",320.12B
"Jan. 31, 2006",322.60B
"Dec. 31, 2005",313.44B
"Nov. 30, 2005",313.06B
"Oct. 31, 2005",310.77B
"Sept. 30, 2005",310.43B
"Aug. 31, 2005",309.72B
"July 31, 2005",313.69B
"June 30, 2005",311.02B
"May 31, 2005",301.77B
"April 30, 2005",304.82B
"March 31, 2005",300.21B
"Feb. 28, 2005",300.38B
"Jan. 31, 2005",297.19B
"Dec. 31, 2004",299.77B
"Nov. 30, 2004",296.18B
"Oct. 31, 2004",295.06B
"Sept. 30, 2004",293.18B
"Aug. 31, 2004",287.91B
"July 31, 2004",287.34B
"June 30, 2004",284.15B
"May 31, 2004",288.25B
"April 30, 2004",282.97B
"March 31, 2004",286.23B
"Feb. 29, 2004",280.97B
"Jan. 31, 2004",278.88B
"Dec. 31, 2003",277.57B
"Nov. 30, 2003",278.32B
"Oct. 31, 2003",274.78B
"Sept. 30, 2003",276.41B
"Aug. 31, 2003",277.90B
"July 31, 2003",273.39B
"June 30, 2003",270.43B
"May 31, 2003",267.35B
"April 30, 2003",267.24B
"March 31, 2003",267.84B
"Feb. 28, 2003",263.20B
"Jan. 31, 2003",267.28B
"Dec. 31, 2002",265.80B
"Nov. 30, 2002",263.56B
"Oct. 31, 2002",262.01B
"Sept. 30, 2002",260.65B
"Aug. 31, 2002",264.98B
"July 31, 2002",262.81B
"June 30, 2002",259.82B
"May 31, 2002",257.62B
"April 30, 2002",261.32B
"March 31, 2002",257.06B
"Feb. 28, 2002",257.68B
"Jan. 31, 2002",256.38B
"Dec. 31, 2001",256.55B
"Nov. 30, 2001",260.36B
"Oct. 31, 2001",268.07B
"Sept. 30, 2001",249.86B
"Aug. 31, 2001",254.57B
"July 31, 2001",253.02B
"June 30, 2001",254.02B
"May 31, 2001",255.26B
"April 30, 2001",254.76B
"March 31, 2001",250.35B
"Feb. 28, 2001",252.73B
"Jan. 31, 2001",252.74B
"Dec. 31, 2000",250.60B
"Nov. 30, 2000",250.22B
"Oct. 31, 2000",251.27B
"Sept. 30, 2000",251.81B
"Aug. 31, 2000",247.60B
"July 31, 2000",247.18B
"June 30, 2000",248.18B
"May 31, 2000",246.22B
"April 30, 2000",245.79B
"March 31, 2000",249.85B
"Feb. 29, 2000",247.13B
"Jan. 31, 2000",243.48B
"Dec. 31, 1999",245.50B
"Nov. 30, 1999",240.46B
"Oct. 31, 1999",237.56B
"Sept. 30, 1999",237.52B
"Aug. 31, 1999",236.59B
