date,us_total_vehicle_sales
"May 31, 2009",10.18M
"April 30, 2009",9.378M
"March 31, 2009",9.751M
"Feb. 28, 2009",9.221M
"Jan. 31, 2009",9.784M
"Dec. 31, 2008",10.38M
"Nov. 30, 2008",10.53M
"Oct. 31, 2008",10.93M
"Sept. 30, 2008",12.96M
"Aug. 31, 2008",14.12M
"July 31, 2008",13.01M
"June 30, 2008",14.38M
"May 31, 2008",14.70M
"April 30, 2008",14.61M
"March 31, 2008",15.11M
"Feb. 29, 2008",15.49M
"Jan. 31, 2008",15.70M
"Dec. 31, 2007",16.03M
"Nov. 30, 2007",16.35M
"Oct. 31, 2007",16.45M
"Sept. 30, 2007",16.54M
"Aug. 31, 2007",16.38M
"July 31, 2007",15.84M
"June 30, 2007",16.18M
"May 31, 2007",16.66M
"April 30, 2007",16.61M
"March 31, 2007",16.44M
"Feb. 28, 2007",17.17M
"Jan. 31, 2007",16.89M
"Dec. 31, 2006",17.12M
"Nov. 30, 2006",16.66M
"Oct. 31, 2006",16.88M
"Sept. 30, 2006",16.97M
"Aug. 31, 2006",16.46M
"July 31, 2006",17.66M
"June 30, 2006",16.90M
"May 31, 2006",16.71M
"April 30, 2006",17.12M
"March 31, 2006",16.96M
"Feb. 28, 2006",17.07M
"Jan. 31, 2006",18.09M
"Dec. 31, 2005",17.19M
"Nov. 30, 2005",16.53M
"Oct. 31, 2005",15.34M
"Sept. 30, 2005",16.93M
"Aug. 31, 2005",17.42M
"July 31, 2005",21.12M
"June 30, 2005",18.48M
"May 31, 2005",17.42M
"April 30, 2005",17.76M
"March 31, 2005",17.40M
"Feb. 28, 2005",16.88M
"Jan. 31, 2005",16.89M
"Dec. 31, 2004",18.13M
"Nov. 30, 2004",17.37M
"Oct. 31, 2004",17.51M
"Sept. 30, 2004",17.88M
"Aug. 31, 2004",17.16M
"July 31, 2004",17.30M
"June 30, 2004",16.17M
"May 31, 2004",18.17M
"April 30, 2004",16.89M
"March 31, 2004",17.25M
"Feb. 29, 2004",17.03M
"Jan. 31, 2004",16.69M
"Dec. 31, 2003",17.38M
"Nov. 30, 2003",17.57M
"Oct. 31, 2003",16.49M
"Sept. 30, 2003",17.29M
"Aug. 31, 2003",18.26M
"July 31, 2003",17.12M
"June 30, 2003",17.01M
"May 31, 2003",16.46M
"April 30, 2003",16.74M
"March 31, 2003",16.46M
"Feb. 28, 2003",16.11M
"Jan. 31, 2003",16.70M
"Dec. 31, 2002",17.89M
"Nov. 30, 2002",16.52M
"Oct. 31, 2002",16.26M
"Sept. 30, 2002",16.67M
"Aug. 31, 2002",18.45M
"July 31, 2002",18.15M
"June 30, 2002",16.95M
"May 31, 2002",16.18M
"April 30, 2002",17.67M
"March 31, 2002",17.09M
"Feb. 28, 2002",17.30M
"Jan. 31, 2002",16.52M
"Dec. 31, 2001",16.46M
"Nov. 30, 2001",18.03M
"Oct. 31, 2001",22.06M
"Sept. 30, 2001",16.36M
"Aug. 31, 2001",16.35M
"July 31, 2001",16.46M
"June 30, 2001",17.46M
"May 31, 2001",16.88M
"April 30, 2001",16.87M
"March 31, 2001",17.25M
"Feb. 28, 2001",17.83M
"Jan. 31, 2001",17.65M
"Dec. 31, 2000",16.22M
"Nov. 30, 2000",16.63M
"Oct. 31, 2000",17.51M
"Sept. 30, 2000",18.65M
"Aug. 31, 2000",17.53M
"July 31, 2000",17.32M
"June 30, 2000",17.60M
"May 31, 2000",17.94M
"April 30, 2000",17.94M
"March 31, 2000",18.34M
"Feb. 29, 2000",19.40M
"Jan. 31, 2000",18.64M
"Dec. 31, 1999",18.32M
"Nov. 30, 1999",17.62M
"Oct. 31, 1999",17.68M
"Sept. 30, 1999",17.66M
"Aug. 31, 1999",17.64M
"July 31, 1999",17.69M
"June 30, 1999",17.35M
"May 31, 1999",17.56M
"April 30, 1999",16.93M
"March 31, 1999",16.83M
"Feb. 28, 1999",17.10M
"Jan. 31, 1999",16.59M
"Dec. 31, 1998",17.41M
"Nov. 30, 1998",16.12M
"Oct. 31, 1998",17.13M
"Sept. 30, 1998",16.31M
"Aug. 31, 1998",14.80M
"July 31, 1998",14.67M
"June 30, 1998",16.77M
"May 31, 1998",17.06M
"April 30, 1998",15.92M
"March 31, 1998",15.40M
"Feb. 28, 1998",15.23M
"Jan. 31, 1998",14.79M
"Dec. 31, 1997",16.47M
"Nov. 30, 1997",15.82M
"Oct. 31, 1997",15.43M
"Sept. 30, 1997",15.10M
"Aug. 31, 1997",16.15M
"July 31, 1997",15.57M
"June 30, 1997",14.52M
"May 31, 1997",15.09M
"April 30, 1997",15.06M
"March 31, 1997",15.82M
"Feb. 28, 1997",15.27M
"Jan. 31, 1997",15.68M
"Dec. 31, 1996",15.18M
"Nov. 30, 1996",15.71M
"Oct. 31, 1996",15.31M
"Sept. 30, 1996",15.53M
"Aug. 31, 1996",15.49M
"July 31, 1996",15.07M
"June 30, 1996",15.26M
"May 31, 1996",15.99M
"April 30, 1996",15.47M
"March 31, 1996",16.04M
"Feb. 29, 1996",15.59M
"Jan. 31, 1996",14.81M
"Dec. 31, 1995",16.26M
"Nov. 30, 1995",15.38M
"Oct. 31, 1995",14.86M
"Sept. 30, 1995",15.34M
"Aug. 31, 1995",15.37M
"July 31, 1995",14.70M
"June 30, 1995",15.41M
"May 31, 1995",14.81M
"April 30, 1995",14.38M
"March 31, 1995",15.26M
"Feb. 28, 1995",14.86M
"Jan. 31, 1995",14.80M
"Dec. 31, 1994",15.58M
"Nov. 30, 1994",15.89M
